UZA,UZA Name,UZA Population,Total Vehicle Revenue Miles,Total Vehicle Revenue Hours,Total Miles,Total Unlinked Passenger Trips,Total Operating Expenses,Fixed Guideway Directional Route Miles,Fixed Guideway Vehicle Revenue Miles,Fixed Guideway Passenger Miles,Fixed Guideway Operating Expenses,Non-Fixed Guideway Vehicle Revenue Miles,Non-Fixed Guideway Passenger Miles,Non-Fixed Guideway Operating Expenses,Fixed Guideway Directional Route Miles >= 7 Years,Fixed Guideway Vehicle Revenue Miles >= 7 Years,High Intensity Bus Directional Route Miles >= 7 Years,High Intensity Bus Vehicle Revenue Miles >= 7 Years
0,Alabama Non-UZA,,"5,837,073","341,147","3,737,194","1,583,938","$16,915,775",0.0,0,0,$0,"5,837,073","3,737,194","$16,915,775",0.0,0,0.0,0
0,Alaska Non-UZA,,"4,072,666","222,117","22,621,910","1,954,878","$67,608,693",914.8,"1,089,223","22,621,910","$47,509,910","2,983,443",0,"$20,098,783",914.8,"1,089,223",0.0,0
0,American Samoa Non-UZA,,"147,007","13,625",0,"26,358","$654,283",0.0,0,0,$0,"147,007",0,"$654,283",0.0,0,0.0,0
0,Arizona Non-UZA,,"5,628,984","297,612","3,922,031","2,000,611","$20,083,001",0.0,0,0,$0,"5,628,984","3,922,031","$20,083,001",0.0,0,0.0,0
0,Arkansas Non-UZA,,"12,331,660","651,957","15,760","1,000,272","$20,599,427",0.0,0,0,$0,"12,331,660","15,760","$20,599,427",0.0,0,0.0,0
0,California Non-UZA,,"26,306,538","1,446,087","41,988,853","11,915,497","$135,491,490",0.0,0,0,$0,"26,306,538","41,988,853","$135,491,490",0.0,0,0.0,0
0,Colorado Non-UZA,,"20,416,522","1,364,349","427,465","17,302,002","$94,335,916",0.0,0,0,$0,"20,416,522","427,465","$94,335,916",0.0,0,0.0,0
0,Connecticut Non-UZA,,"1,554,701","100,846","2,244,457","844,578","$6,848,917",0.0,0,0,$0,"1,554,701","2,244,457","$6,848,917",0.0,0,0.0,0
0,Delaware Non-UZA,,"3,199,039","181,574","5,226,135","548,021","$22,002,977",0.0,0,0,$0,"3,199,039","5,226,135","$22,002,977",0.0,0,0.0,0
0,Florida Non-UZA,,"21,074,199","1,437,052","31,560,488","6,780,079","$70,243,533",0.0,0,0,$0,"21,074,199","31,560,488","$70,243,533",0.0,0,0.0,0
0,Georgia Non-UZA,,"16,104,391","920,045","405,892","1,629,408","$31,155,992",0.0,0,0,$0,"16,104,391","405,892","$31,155,992",0.0,0,0.0,0
0,Guam Non-UZA,,"406,445","48,042",0,"162,115","$3,746,416",0.0,0,0,$0,"406,445",0,"$3,746,416",0.0,0,0.0,0
0,Hawaii Non-UZA,,"5,226,165","291,738","5,226,151","2,460,853","$23,369,482",0.0,0,0,$0,"5,226,165","5,226,151","$23,369,482",0.0,0,0.0,0
0,Idaho Non-UZA,,"3,629,145","192,217","1,552,504","1,211,999","$11,179,689",0.0,0,0,$0,"3,629,145","1,552,504","$11,179,689",0.0,0,0.0,0
0,Illinois Non-UZA,,"21,079,446","1,111,336","9,323,551","4,417,840","$62,906,565",0.0,0,0,$0,"21,079,446","9,323,551","$62,906,565",0.0,0,0.0,0
0,Indiana Non-UZA,,"12,741,232","837,227","405,897","2,251,069","$31,263,703",0.0,0,0,$0,"12,741,232","405,897","$31,263,703",0.0,0,0.0,0
0,Iowa Non-UZA,,"15,170,293","1,082,473","686,010","4,080,191","$47,057,210",0.0,0,0,$0,"15,170,293","686,010","$47,057,210",0.0,0,0.0,0
0,Kansas Non-UZA,,"7,578,208","419,298","69,041","1,540,316","$18,332,949",0.0,0,0,$0,"7,578,208","69,041","$18,332,949",0.0,0,0.0,0
0,Kentucky Non-UZA,,"30,128,730","1,772,053","1,625,589","2,838,812","$57,775,936",0.0,0,0,$0,"30,128,730","1,625,589","$57,775,936",0.0,0,0.0,0
0,Louisiana Non-UZA,,"5,564,711","318,616","480,624","651,848","$14,913,793",1.0,"4,712","58,134","$869,656","5,559,999","422,490","$14,044,137",0.0,0,0.0,0
0,Maine Non-UZA,,"13,395,743","638,699","1,470,131","2,116,458","$36,821,396",7.5,"22,143","1,040,877","$1,653,372","13,373,600","429,254","$35,168,024",7.5,"22,143",0.0,0
0,Maryland Non-UZA,,"6,162,333","401,170","5,221,392","3,905,725","$23,140,954",0.0,0,0,$0,"6,162,333","5,221,392","$23,140,954",0.0,0,0.0,0
0,Massachusetts Non-UZA,,"3,147,859","211,853","4,044,709","2,643,069","$15,905,290",0.0,0,0,$0,"3,147,859","4,044,709","$15,905,290",0.0,0,0.0,0
0,Michigan Non-UZA,,"31,503,081","1,830,004","6,891,653","7,714,030","$102,890,426",0.0,0,0,$0,"31,503,081","6,891,653","$102,890,426",0.0,0,0.0,0
0,Minnesota Non-UZA,,"15,310,375","971,778","679,849","4,184,422","$55,303,291",0.0,0,0,$0,"15,310,375","679,849","$55,303,291",0.0,0,0.0,0
0,Mississippi Non-UZA,,"12,438,020","538,894","1,084,823","3,182,512","$24,726,829",0.0,0,0,$0,"12,438,020","1,084,823","$24,726,829",0.0,0,0.0,0
0,Missouri Non-UZA,,"22,061,771","1,191,923","18,241","2,280,685","$45,293,125",0.0,0,0,$0,"22,061,771","18,241","$45,293,125",0.0,0,0.0,0
0,Montana Non-UZA,,"5,288,270","353,384",0,"1,430,916","$15,978,343",0.0,0,0,$0,"5,288,270",0,"$15,978,343",0.0,0,0.0,0
0,Nebraska Non-UZA,,"3,718,918","233,337",0,"678,139","$10,885,955",0.0,0,0,$0,"3,718,918",0,"$10,885,955",0.0,0,0.0,0
0,Nevada Non-UZA,,"2,317,353","133,216","1,638,233","638,009","$8,808,036",0.0,0,0,$0,"2,317,353","1,638,233","$8,808,036",0.0,0,0.0,0
0,New Hampshire Non-UZA,,"1,243,608","103,420","111,826","996,294","$5,955,079",0.0,0,0,$0,"1,243,608","111,826","$5,955,079",0.0,0,0.0,0
0,New Jersey Non-UZA,,"2,250,328","149,339","424,727","450,367","$9,263,829",0.0,0,0,$0,"2,250,328","424,727","$9,263,829",0.0,0,0.0,0
0,New Mexico Non-UZA,,"5,384,909","297,929","1,013,699","1,687,518","$24,803,135",0.0,0,0,$0,"5,384,909","1,013,699","$24,803,135",0.0,0,0.0,0
0,New York Non-UZA,,"15,002,211","812,809","7,506,943","5,671,501","$62,510,547",0.0,0,0,$0,"15,002,211","7,506,943","$62,510,547",0.0,0,0.0,0
0,North Carolina Non-UZA,,"32,344,992","1,746,510","3,444,638","5,099,100","$69,166,931",0.0,0,0,$0,"32,344,992","3,444,638","$69,166,931",0.0,0,0.0,0
0,North Dakota Non-UZA,,"3,444,377","236,289",0,"618,595","$11,005,636",0.0,0,0,$0,"3,444,377",0,"$11,005,636",0.0,0,0.0,0
0,Ohio Non-UZA,,"14,412,330","828,287","465,688","2,631,223","$44,963,328",0.0,0,0,$0,"14,412,330","465,688","$44,963,328",0.0,0,0.0,0
0,Oklahoma Non-UZA,,"20,044,354","1,113,403",0,"2,815,128","$41,424,073",0.0,0,0,$0,"20,044,354",0,"$41,424,073",0.0,0,0.0,0
0,Oregon Non-UZA,,"10,756,618","577,357","4,276,933","2,992,867","$36,112,898",0.0,0,0,$0,"10,756,618","4,276,933","$36,112,898",0.0,0,0.0,0
0,Pennsylvania Non-UZA,,"13,642,483","750,590","11,006,669","3,584,771","$54,258,575",0.0,0,0,$0,"13,642,483","11,006,669","$54,258,575",0.0,0,0.0,0
0,Puerto Rico Non-UZA,,"835,054","74,044","3,201,767","993,017","$2,881,091",0.0,0,0,$0,"835,054","3,201,767","$2,881,091",0.0,0,0.0,0
0,Rhode Island Non-UZA,,"182,344","6,849","1,226,960","55,196","$1,996,180",0.0,0,0,$0,"182,344","1,226,960","$1,996,180",0.0,0,0.0,0
0,South Carolina Non-UZA,,"8,594,015","473,074","1,945,748","1,386,595","$20,432,509",0.0,0,0,$0,"8,594,015","1,945,748","$20,432,509",0.0,0,0.0,0
0,South Dakota Non-UZA,,"5,565,670","363,201",0,"1,511,193","$16,465,787",0.0,0,0,$0,"5,565,670",0,"$16,465,787",0.0,0,0.0,0
0,Tennessee Non-UZA,,"24,088,407","1,160,372","2,208,180","5,121,463","$48,467,539",0.0,0,0,$0,"24,088,407","2,208,180","$48,467,539",0.0,0,0.0,0
0,Texas Non-UZA,,"26,981,044","1,328,370","9,993,525","4,057,915","$78,047,487",0.0,0,0,$0,"26,981,044","9,993,525","$78,047,487",0.0,0,0.0,0
0,Utah Non-UZA,,"4,338,384","201,946","12,342,575","2,995,564","$21,821,741",0.0,0,0,$0,"4,338,384","12,342,575","$21,821,741",0.0,0,0.0,0
0,Vermont Non-UZA,,"16,124,172","591,158",0,"2,478,823","$32,042,411",0.0,0,0,$0,"16,124,172",0,"$32,042,411",0.0,0,0.0,0
0,Virginia Non-UZA,,"10,534,071","535,988","10,501,962","2,875,666","$26,977,003",0.0,0,0,$0,"10,534,071","10,501,962","$26,977,003",0.0,0,0.0,0
0,Washington Non-UZA,,"18,808,351","933,550","65,438,371","14,841,320","$167,714,310",137.9,"285,565","60,569,863","$83,037,580","18,522,786","4,868,508","$84,676,730",136.4,"282,972",0.0,0
0,West Virginia Non-UZA,,"4,474,110","254,091",0,"1,077,775","$13,038,586",0.0,0,0,$0,"4,474,110",0,"$13,038,586",0.0,0,0.0,0
0,Wisconsin Non-UZA,,"11,844,294","874,279","117,271","3,013,064","$33,261,006",0.0,0,0,$0,"11,844,294","117,271","$33,261,006",0.0,0,0.0,0
0,Wyoming Non-UZA,,"2,837,214","228,908",0,"2,088,185","$10,126,908",0.0,0,0,$0,"2,837,214",0,"$10,126,908",0.0,0,0.0,0
1,"New York-Newark, NY-NJ-CT","18,351,295","860,644,444","56,591,857","21,504,782,688","4,114,906,519","$14,710,303,410","2,608.4","544,502,945","17,692,393,459","$9,431,724,644","316,141,499","3,812,389,229","$5,278,578,766","2,496.7","540,318,248",133.5,"5,818,304"
2,"Los Angeles-Long Beach-Anaheim, CA","12,150,996","268,724,216","18,925,111","3,017,052,801","558,777,261","$2,894,505,626",653.7,"35,595,587","1,096,198,192","$729,704,071","233,128,629","1,920,854,609","$2,164,801,555",617.7,"31,528,678",294.3,"3,004,196"
3,"Chicago, IL-IN","8,608,208","242,188,466","16,183,182","3,844,797,877","574,216,102","$2,623,908,818","1,269.8","120,437,460","3,005,060,930","$1,418,290,005","121,751,006","839,736,947","$1,205,618,813","1,259.0","120,378,175",0.0,0
4,"Miami, FL","5,502,379","99,848,330","6,832,665","841,741,392","127,128,986","$893,059,436",241.9,"13,656,927","287,281,330","$245,411,303","86,191,403","554,460,062","$647,648,133",240.3,"13,647,586",27.8,"393,062"
5,"Philadelphia, PA-NJ-DE-MD","5,441,567","126,194,062","9,487,360","1,710,168,734","360,559,268","$1,609,956,125",838.2,"48,337,640","1,051,920,351","$687,501,908","77,856,422","658,248,383","$922,454,217",838.2,"48,337,640",0.0,0
6,"Dallas-Fort Worth-Arlington, TX","5,121,892","63,831,651","4,203,304","457,374,609","69,211,583","$592,643,609",263.9,"12,014,657","272,849,351","$224,452,511","51,816,994","184,525,258","$368,191,098",227.4,"10,582,370",31.0,"324,260"
