Zipcode,Population,Median Age,Transportation (total),Public Transportation,Public Transportation Rate,City,State,Lat,Lng
11373,100713.0,36.3,48188.0,34797.0,72.21092388146427,Elmhurst,Queens County,40.737975,-73.8801301
11368,110385.0,31.6,52359.0,34637.0,66.15290589965431,Corona,Queens County,40.7506343,-73.8477874
11385,100132.0,35.3,45510.0,27766.0,61.0107668644254,Glendale,Queens County,40.6980708,-73.8948295
11220,101715.0,32.5,43505.0,26155.0,60.11952649120791,Brooklyn,NY,40.6385229,-74.0153231
90011,102926.0,27.8,38934.0,8496.0,21.821544151641238,South Los Angeles,Los Angeles County,34.007889,-118.2585096
60629,115013.0,29.8,42694.0,7191.0,16.84311612873003,Chicago,IL,41.7727709,-87.7123355
90201,102515.0,28.2,39489.0,2523.0,6.389121021043835,Bell Gardens,CA,33.96672119999999,-118.1766294
91331,102367.0,30.8,41490.0,2544.0,6.131597975415763,Hansen Hills,Los Angeles County,34.2570374,-118.4279933
90650,106521.0,34.0,45480.0,1582.0,3.4784520668425682,Norwalk,CA,33.90777509999999,-118.0830047
00926,105093.0,40.6,41370.0,1214.0,2.9344935943920714,San Juan,,18.3586321,-66.0702979
77084,101488.0,32.4,50487.0,749.0,1.4835502208489315,Houston,TX,29.8296506,-95.6668306
79936,113451.0,31.7,51933.0,414.0,0.7971809831898793,El Paso,TX,31.7599791,-106.287521
