datetime,co,no,no2,o3,so2,pm2_5,pm10,nh3,aqi,City,State,Zipcode
2021-02-01 12:00:00,250.34,0.0,10.28,70.1,2.3,2.0,3.06,0.41,1.0,Elmhurst,Queens County,11373
2021-02-01 11:00:00,243.66,0.0,7.37,77.96,2.15,1.66,2.43,0.26,1.0,Elmhurst,Queens County,11373
2021-02-01 10:00:00,243.66,0.0,6.08,85.83,1.83,1.32,2.1,0.23,2.0,Elmhurst,Queens County,11373
2021-02-01 09:00:00,243.66,0.0,6.08,89.41,1.83,1.24,2.06,0.24,2.0,Elmhurst,Queens County,11373
2021-02-01 08:00:00,247.0,0.0,7.2,84.4,2.15,1.68,2.56,0.25,2.0,Elmhurst,Queens County,11373
2021-02-01 07:00:00,250.34,0.0,9.08,72.96,2.65,2.52,3.42,0.27,1.0,Elmhurst,Queens County,11373
2021-02-01 06:00:00,253.68,0.0,10.03,70.81,2.86,2.53,3.38,0.29,1.0,Elmhurst,Queens County,11373
2021-02-01 05:00:00,250.34,0.0,9.85,77.25,2.38,1.89,2.74,0.32,1.0,Elmhurst,Queens County,11373
2021-02-01 04:00:00,257.02,0.0,12.0,76.53,2.41,1.94,3.32,0.52,1.0,Elmhurst,Queens County,11373
2021-02-01 03:00:00,267.03,0.0,14.57,72.96,2.83,2.35,4.35,0.73,1.0,Elmhurst,Queens County,11373
2021-02-01 02:00:00,287.06,0.01,20.05,65.09,3.82,3.54,6.24,1.01,1.0,Elmhurst,Queens County,11373
2021-02-01 01:00:00,317.1,0.03,30.85,51.5,5.54,5.26,9.36,1.52,1.0,Elmhurst,Queens County,11373
2021-02-01 00:00:00,330.45,0.06,38.39,43.99,6.74,5.93,11.02,1.92,1.0,Elmhurst,Queens County,11373
2021-01-31 23:00:00,323.77,0.06,39.76,44.35,7.09,5.4,10.36,1.84,1.0,Elmhurst,Queens County,11373
2021-01-31 22:00:00,317.1,0.5,37.01,47.92,7.21,4.98,9.71,1.76,1.0,Elmhurst,Queens County,11373
2021-01-31 21:00:00,313.76,2.63,33.93,50.78,7.75,5.15,9.81,1.77,1.0,Elmhurst,Queens County,11373
2021-01-31 20:00:00,317.1,5.09,31.53,52.93,8.11,5.47,10.31,1.87,1.0,Elmhurst,Queens County,11373
2021-01-31 19:00:00,320.44,6.48,29.13,53.64,7.99,5.7,10.88,1.93,1.0,Elmhurst,Queens County,11373
2021-01-31 18:00:00,320.44,6.48,26.39,53.64,7.33,5.7,11.52,1.96,1.0,Elmhurst,Queens County,11373
2021-01-31 17:00:00,327.11,6.93,27.08,50.78,7.33,5.96,12.07,2.15,1.0,Elmhurst,Queens County,11373
2021-01-31 16:00:00,333.79,6.54,28.79,46.49,6.91,6.3,12.53,2.34,1.0,Elmhurst,Queens County,11373
2021-01-31 15:00:00,343.8,5.87,31.19,39.7,6.62,6.58,12.93,2.47,1.0,Elmhurst,Queens County,11373
2021-01-31 14:00:00,347.14,2.6,36.33,32.19,6.62,6.57,12.62,2.5,1.0,Elmhurst,Queens County,11373
2021-01-31 13:00:00,337.12,0.45,35.99,33.26,6.68,6.1,11.16,2.34,1.0,Elmhurst,Queens County,11373
2021-01-31 12:00:00,307.08,0.1,27.76,43.63,6.56,4.6,8.07,1.85,1.0,Elmhurst,Queens County,11373
2021-01-31 11:00:00,273.71,0.02,19.02,54.36,5.78,2.83,5.04,1.22,1.0,Elmhurst,Queens County,11373
2021-01-31 10:00:00,267.03,0.01,16.97,57.94,5.31,2.51,4.51,1.08,1.0,Elmhurst,Queens County,11373
2021-01-31 09:00:00,270.37,0.01,17.31,57.22,5.13,2.67,4.82,1.12,1.0,Elmhurst,Queens County,11373
2021-01-31 08:00:00,277.04,0.01,18.17,55.79,4.89,3.05,5.41,1.22,1.0,Elmhurst,Queens County,11373
2021-01-31 07:00:00,297.07,0.02,21.42,50.78,4.95,4.05,6.9,1.5,1.0,Elmhurst,Queens County,11373
2021-01-31 06:00:00,340.46,0.06,29.82,39.7,6.08,6.21,9.94,2.25,1.0,Elmhurst,Queens County,11373
2021-01-31 05:00:00,393.87,0.19,39.41,29.68,7.45,8.99,13.77,3.29,1.0,Elmhurst,Queens County,11373
2021-01-31 04:00:00,447.27,0.66,49.35,21.82,7.87,12.45,18.27,4.37,2.0,Elmhurst,Queens County,11373
2021-01-31 03:00:00,460.63,0.73,50.72,22.53,7.75,12.87,18.81,4.56,2.0,Elmhurst,Queens County,11373
2021-01-31 02:00:00,447.27,0.46,49.35,27.54,7.63,11.62,17.09,4.31,2.0,Elmhurst,Queens County,11373
2021-01-31 01:00:00,427.25,0.27,47.3,33.98,7.39,9.89,14.67,3.86,2.0,Elmhurst,Queens County,11373
2021-01-31 00:00:00,393.87,0.14,43.18,40.77,7.33,7.79,11.57,3.29,2.0,Elmhurst,Queens County,11373
2021-01-30 23:00:00,353.81,0.06,36.33,48.64,7.09,5.53,8.38,2.57,1.0,Elmhurst,Queens County,11373
2021-01-30 22:00:00,303.75,0.83,25.36,62.23,5.9,3.71,5.63,1.76,1.0,Elmhurst,Queens County,11373
2021-01-30 21:00:00,270.37,2.35,15.94,72.96,4.47,2.66,3.91,1.16,1.0,Elmhurst,Queens County,11373
2021-01-30 20:00:00,270.37,3.69,13.71,72.96,4.47,2.88,4.1,1.11,1.0,Elmhurst,Queens County,11373
2021-01-30 19:00:00,270.37,4.36,12.17,71.53,4.29,2.96,4.17,1.06,1.0,Elmhurst,Queens County,11373
2021-01-30 18:00:00,273.71,4.75,11.65,68.67,4.29,2.87,4.14,1.06,1.0,Elmhurst,Queens County,11373
2021-01-30 17:00:00,283.72,5.36,12.34,65.09,4.53,2.94,4.35,1.2,1.0,Elmhurst,Queens County,11373
2021-01-30 16:00:00,290.39,5.48,13.37,60.8,4.47,3.07,4.64,1.35,1.0,Elmhurst,Queens County,11373
2021-01-30 15:00:00,303.75,5.09,15.94,55.79,4.47,3.41,5.28,1.55,1.0,Elmhurst,Queens County,11373
2021-01-30 14:00:00,313.76,2.99,20.56,49.35,4.71,3.8,5.93,1.76,1.0,Elmhurst,Queens County,11373
2021-01-30 13:00:00,310.42,0.35,23.31,47.21,4.83,3.86,5.99,1.77,1.0,Elmhurst,Queens County,11373
2021-01-30 12:00:00,287.06,0.05,19.19,52.93,4.71,3.02,4.68,1.46,1.0,Elmhurst,Queens County,11373
2021-01-30 11:00:00,263.69,0.02,13.37,60.8,4.35,1.72,2.78,1.0,1.0,Elmhurst,Queens County,11373
2021-01-30 10:00:00,257.02,0.01,11.82,64.37,4.05,1.44,2.37,0.9,1.0,Elmhurst,Queens County,11373
2021-01-30 09:00:00,253.68,0.01,11.14,65.8,3.67,1.31,2.17,0.85,1.0,Elmhurst,Queens County,11373
2021-01-30 08:00:00,250.34,0.01,10.2,67.95,3.25,1.18,1.98,0.78,1.0,Elmhurst,Queens County,11373
2021-01-30 07:00:00,247.0,0.01,9.68,68.67,2.89,1.1,1.87,0.74,1.0,Elmhurst,Queens County,11373
2021-01-30 06:00:00,253.68,0.01,10.71,67.95,2.98,1.22,2.1,0.81,1.0,Elmhurst,Queens County,11373
2021-01-30 05:00:00,267.03,0.02,15.08,62.94,3.73,1.92,3.22,1.11,1.0,Elmhurst,Queens County,11373
2021-01-30 04:00:00,290.39,0.04,20.05,57.94,3.87,3.23,5.12,1.55,1.0,Elmhurst,Queens County,11373
