,aqi,aqi,aqi,aqi,aqi
,mean,median,var,std,sem
City,,,,,
Abilene,1.44,1.0,0.38,0.62,0.02
Aguadilla Pueblo,1.14,1.0,0.12,0.35,0.01
Alpharetta,1.28,1.0,0.26,0.51,0.02
Altoona,1.21,1.0,0.21,0.45,0.02
Ames,1.46,1.0,0.5,0.71,0.03
Anderson,1.28,1.0,0.24,0.49,0.02
Annandale,1.58,1.0,0.74,0.86,0.03
Apopka,1.33,1.0,0.22,0.47,0.02
Apple Valley,1.76,2.0,0.5,0.71,0.03
Arecibo,1.11,1.0,0.1,0.31,0.01
Artesia,3.57,4.0,2.13,1.46,0.06
Augusta,1.13,1.0,0.11,0.34,0.01
Avondale,2.06,2.0,1.41,1.19,0.05
Bay City,1.32,1.0,0.26,0.51,0.02
Baytown,1.38,1.0,0.39,0.62,0.02
Beaumont,1.26,1.0,0.19,0.44,0.02
Belmont,1.33,1.0,0.36,0.6,0.02
Bend,1.06,1.0,0.06,0.24,0.01
Bessemer,1.15,1.0,0.15,0.38,0.01
Biscayne Park,1.82,2.0,0.53,0.73,0.03
Blacksburg,1.19,1.0,0.15,0.39,0.01
Blaine,1.68,1.0,0.94,0.97,0.04
Boise,1.22,1.0,0.17,0.42,0.02
Bolingbrook,1.47,1.0,0.56,0.75,0.03
Boston,1.49,1.0,0.8,0.89,0.03
Bothell,1.59,1.0,0.86,0.93,0.04
Boulder,1.29,1.0,0.22,0.47,0.02
Bowie,1.7,1.0,1.06,1.03,0.04
Bozeman,1.22,1.0,0.17,0.42,0.02
Bradenton,1.59,2.0,0.33,0.57,0.02
Bremerton,1.38,1.0,0.56,0.75,0.03
Briarwood,1.21,1.0,0.16,0.4,0.01
Brighton,1.3,1.0,0.25,0.5,0.02
Bristol,1.11,1.0,0.1,0.31,0.01
Brooklyn,2.23,2.0,1.95,1.4,0.04
Brownsville,1.49,1.0,0.25,0.5,0.02
Brunswick,1.24,1.0,0.23,0.48,0.02
Burleson,1.44,1.0,0.4,0.63,0.02
CARNES CROSSROADS,1.17,1.0,0.14,0.37,0.01
CRYSTAL CITY,1.75,1.0,1.2,1.09,0.04
Canóvanas,1.21,1.0,0.16,0.41,0.02
Cape Coral,1.5,1.0,0.3,0.55,0.02
Carrollton,1.58,1.0,0.63,0.79,0.03
Cathedral City,1.89,2.0,0.32,0.56,0.02
Cayey,1.03,1.0,0.03,0.16,0.01
Cedar Park,1.35,1.0,0.26,0.51,0.02
Centerville,1.28,1.0,0.25,0.5,0.02
Central Oklahoma City,1.3,1.0,0.24,0.49,0.02
Chicago,1.81,1.0,1.36,1.16,0.04
Chicago Heights,1.59,1.0,0.94,0.97,0.04
Christiana,1.58,1.0,0.92,0.96,0.04
Clarksville,1.16,1.0,0.14,0.37,0.01
Clermont,1.31,1.0,0.22,0.46,0.02
Coeur d'Alene,1.04,1.0,0.04,0.19,0.01
Colorado Springs,1.39,1.0,0.32,0.56,0.02
Corinth,1.74,1.0,1.39,1.18,0.04
Council Bluffs,1.48,1.0,0.54,0.74,0.03
Cumming,1.16,1.0,0.14,0.37,0.01
Cuyahoga Falls,1.35,1.0,0.32,0.56,0.02
DORCHESTR CTR,1.42,1.0,0.64,0.8,0.02
Dalton,1.2,1.0,0.16,0.4,0.02
DeLand,1.31,1.0,0.22,0.47,0.02
Dearborn,1.59,1.0,0.71,0.84,0.03
Deer Park,1.48,1.0,0.58,0.76,0.03
Del Sur,1.78,1.0,1.23,1.11,0.04
Delano,1.93,2.0,0.89,0.94,0.04
Denton,1.31,1.0,0.24,0.49,0.02
Dundalk,1.8,1.0,1.22,1.1,0.04
E RNCHO DMNGZ,3.65,4.0,1.98,1.41,0.05
Eagle Mountain,1.91,2.0,0.97,0.98,0.04
Eagle Pass,1.23,1.0,0.2,0.45,0.02
East Bronx,2.06,1.0,2.03,1.42,0.05
East Elmhurst,2.06,1.0,2.03,1.42,0.05
East Flatbush,2.23,2.0,1.95,1.4,0.05
East Lansing,1.27,1.0,0.23,0.48,0.02
Eddington,1.19,1.0,0.15,0.39,0.01
Elizabethtown,1.11,1.0,0.11,0.33,0.01
Elkhart,1.24,1.0,0.21,0.46,0.02
Elmhurst,1.63,1.0,0.89,0.95,0.04
Erie,1.27,1.0,0.2,0.44,0.02
Far Rockaway,1.96,2.0,1.59,1.26,0.05
Far West Side,1.29,1.0,0.22,0.46,0.02
Fargo,1.26,1.0,0.3,0.55,0.02
Flower Mound,1.54,1.0,0.53,0.73,0.03
Flushing,2.06,1.0,2.03,1.42,0.05
Forest Hills,2.06,1.0,2.03,1.42,0.05
Fort Washington,1.75,1.0,1.2,1.09,0.04
Fort Wayne,1.24,1.0,0.19,0.44,0.02
Fort Worth,1.43,1.0,0.35,0.59,0.02
Freehold,1.56,1.0,0.85,0.92,0.03
Garrison,1.09,1.0,0.08,0.28,0.01
Gastonia,1.14,1.0,0.13,0.36,0.01
Gilbert,2.05,2.0,1.55,1.24,0.05
Gilroy,1.43,1.0,0.34,0.59,0.02
Glen Allen,1.32,1.0,0.42,0.65,0.02
Glendora,1.75,1.0,1.04,1.02,0.04
Goldsboro,1.16,1.0,0.13,0.36,0.01
Goose Creek,1.18,1.0,0.16,0.39,0.01
Grand Prairie,1.6,1.0,0.69,0.83,0.03
Great Falls,1.6,1.0,0.83,0.91,0.03
Greece,1.54,1.0,0.66,0.81,0.03
Greensburg,1.28,1.0,0.27,0.52,0.02
Greenville,1.19,1.0,0.17,0.41,0.02
Grove City,1.23,1.0,0.18,0.43,0.02
HUNTINGTN BCH,3.23,4.0,2.26,1.5,0.06
Hacienda Heights,3.52,4.0,1.95,1.4,0.05
Hadley,1.31,1.0,0.39,0.62,0.02
Hanford,1.26,1.0,0.24,0.49,0.02
Harvey,1.59,1.0,0.94,0.97,0.04
Hattiesburg,1.13,1.0,0.11,0.34,0.01
Hazard,1.11,1.0,0.1,0.31,0.01
Helena,1.33,1.0,0.36,0.6,0.02
Hilliard,1.25,1.0,0.24,0.49,0.02
Hoboken,2.09,2.0,1.96,1.4,0.04
Hollister,1.3,1.0,0.25,0.5,0.02
Houston,1.63,1.0,0.85,0.92,0.03
Hudson,1.29,1.0,0.24,0.49,0.02
Independence,1.28,1.0,0.22,0.47,0.02
Irvington,1.79,1.0,1.41,1.19,0.05
Issaquah,1.09,1.0,0.08,0.28,0.01
Jackson,1.27,1.0,0.23,0.48,0.02
Jackson Heights,2.06,1.0,2.03,1.42,0.05
Jackson Township,1.49,1.0,0.78,0.88,0.03
Jamaica,1.34,1.0,0.25,0.5,0.02
Jersey City,2.09,2.0,1.96,1.4,0.05
Johnson City,1.14,1.0,0.14,0.38,0.01
Joint Base Anacostia-Bolling,1.75,1.0,1.2,1.09,0.04
Jonesboro,1.11,1.0,0.1,0.31,0.01
Kailua,1.52,2.0,0.26,0.51,0.02
Kaneohe,1.52,2.0,0.26,0.51,0.02
Knoxville,1.24,1.0,0.21,0.46,0.02
Lake Forest,2.55,2.0,2.28,1.51,0.06
Lake Shore,1.31,1.0,0.31,0.56,0.02
Lakeland,1.35,1.0,0.28,0.53,0.02
Las Vegas,2.45,2.0,1.48,1.21,0.05
Lawrenceville,1.52,1.0,0.77,0.88,0.03
Lawton,1.24,1.0,0.18,0.43,0.02
Leander,1.35,1.0,0.26,0.51,0.02
Lebanon,2.59,2.0,1.87,1.37,0.05
Lenexa,1.33,1.0,0.36,0.6,0.02
Lilburn,1.35,1.0,0.37,0.6,0.02
Lithonia,1.35,1.0,0.37,0.6,0.02
Lockport,1.25,1.0,0.22,0.47,0.02
Lodi,1.54,1.0,0.46,0.68,0.03
Lombard,1.63,1.0,0.89,0.95,0.04
Lompoc,1.38,1.0,0.27,0.52,0.02
Long Island City,2.09,2.0,1.96,1.4,0.05
Los Angeles,3.84,4.0,1.9,1.38,0.05
MENTOR ON THE,1.28,1.0,0.21,0.46,0.02
Malden,1.49,1.0,0.8,0.89,0.03
Manhattan,2.09,2.0,1.96,1.4,0.04
Marshfield,1.23,1.0,0.2,0.44,0.02
Mason,1.3,1.0,0.32,0.56,0.02
Maspeth,2.09,2.0,1.96,1.4,0.05
Matthews,1.33,1.0,0.37,0.61,0.02
McAllen,1.47,1.0,0.32,0.57,0.02
McDonough,1.17,1.0,0.24,0.49,0.02
McMinnville,1.15,1.0,0.21,0.46,0.02
Merced,1.37,1.0,0.4,0.63,0.02
Mesquite,1.48,1.0,0.63,0.8,0.03
Miami,1.82,2.0,0.53,0.73,0.03
Mid Island,1.9,1.0,1.49,1.22,0.05
Middle Village,2.06,1.0,2.03,1.42,0.05
Mililani,1.47,1.0,0.28,0.52,0.02
Mill Creek,1.59,1.0,0.86,0.93,0.04
Mobile,1.29,1.0,0.23,0.48,0.02
Mooresville,1.17,1.0,0.18,0.42,0.02
Mount Airy,1.16,1.0,0.13,0.37,0.01
Mount Pleasant,1.29,1.0,0.21,0.45,0.02
Mount Prospect,1.66,1.0,0.97,0.98,0.04
Mountain Brook,1.21,1.0,0.21,0.46,0.02
Murfreesboro,1.16,1.0,0.14,0.37,0.01
NEW PRT RCHY,1.56,2.0,0.25,0.5,0.02
Naples,1.6,2.0,0.27,0.52,0.02
New York,2.09,2.0,1.96,1.4,0.05
Newnan,1.16,1.0,0.16,0.4,0.02
Newton,1.26,1.0,0.24,0.49,0.02
Norcross,1.28,1.0,0.26,0.51,0.02
Normal,1.26,1.0,0.28,0.52,0.02
North Bergen,2.09,2.0,1.96,1.4,0.05
North Charleston,1.19,1.0,0.15,0.39,0.01
North Massapequa,1.68,1.0,1.37,1.17,0.04
North Philadelphia,1.93,1.0,1.67,1.29,0.05
North Ridgeville,1.38,1.0,0.31,0.56,0.02
