City,Population,Public Transportation Rate,Median Age,Lat,Lng
Brooklyn,2480847.0,61.840459719115636,34.69428571428571,40.6781784,-73.94415790000001
Chicago,2309901.0,26.096482373554306,34.290000000000006,41.8781136,-87.62979820000001
Houston,1758164.0,2.7627164796825245,32.22790697674419,29.7604267,-95.36980279999999
Las Vegas,1235945.0,4.64707707249008,36.455172413793115,36.169941200000004,-115.13982959999998
Los Angeles,1019978.0,12.176150608273575,32.65714285714286,34.0522342,-118.24368490000002
Manhattan,1379505.0,58.24445941606818,36.575,40.783060299999995,-73.9712488
Miami,1243754.0,5.721621847626245,39.96896551724138,25.7616798,-80.1917902
Philadelphia,1051427.0,26.136155043511906,34.312000000000005,39.9525839,-75.1652215
San Antonio,1051909.0,3.2207619720897207,33.8,29.4241219,-98.4936282
San Diego,1079953.0,3.6547422841013835,34.9875,32.715738,-117.1610838
