Zipcode,Population,Median Age,Transportation (total),Public Transportation,Public Transportation Rate
01740,5019.0,42.7,2623.0,72.0,2.744948532215021
01741,4967.0,48.5,2211.0,14.0,0.6331976481230213
01742,18948.0,46.7,7623.0,571.0,7.490489308671127
01745,309.0,50.4,162.0,15.0,9.25925925925926
01746,14008.0,42.6,6904.0,260.0,3.7659327925840094
01747,5934.0,41.5,3106.0,91.0,2.9298132646490664
01748,15604.0,40.3,7474.0,528.0,7.0644902328070645
01749,19464.0,43.0,9860.0,56.0,0.5679513184584178
01752,39141.0,40.0,22183.0,331.0,1.4921336158319434
01754,10314.0,42.7,5649.0,165.0,2.9208709506107278
01756,5895.0,43.6,3100.0,80.0,2.5806451612903225
01757,28391.0,38.7,14528.0,283.0,1.9479625550660793
01760,34043.0,41.7,18658.0,1611.0,8.634365955622254
01770,4200.0,46.0,2053.0,77.0,3.7506088650754994
01772,9560.0,42.0,4781.0,62.0,1.2967998326709893
01773,5367.0,49.1,2635.0,174.0,6.603415559772296
01775,6841.0,43.5,3443.0,71.0,2.0621550972988674
01776,18197.0,43.7,8359.0,230.0,2.7515253020696258
01778,13421.0,46.6,6397.0,248.0,3.8768172580897295
01801,39315.0,40.0,21322.0,1005.0,4.713441515805272
01803,25190.0,41.8,12892.0,397.0,3.0794291033198884
01810,34251.0,41.5,16374.0,811.0,4.952974227433736
01821,31157.0,40.7,16757.0,481.0,2.8704422032583397
01824,25582.0,44.5,13183.0,467.0,3.542441022529015
01826,30315.0,40.0,16202.0,173.0,1.0677694111838045
01827,3299.0,45.3,1707.0,13.0,0.7615700058582309
01830,26415.0,38.8,12032.0,517.0,4.296875
01832,22137.0,38.4,10399.0,424.0,4.077315126454467
01833,8379.0,41.7,4351.0,69.0,1.5858423350953803
01834,6805.0,45.6,3462.0,97.0,2.801848642403235
01835,13217.0,37.7,7386.0,212.0,2.8702951529921474
01840,4799.0,35.4,1642.0,114.0,6.942752740560293
01841,47125.0,30.5,18429.0,822.0,4.46036138694449
01843,25440.0,30.7,11116.0,297.0,2.6718243972652034
