Zipcode,Population,Median Age,Transportation (total),Public Transportation,Public Transportation Rate,City,State,Lat,Lng
01752,39141.0,40.0,22183.0,331.0,1.4921336158319434,Marlborough,MA,42.347372,-71.53678599999999
01760,34043.0,41.7,18658.0,1611.0,8.634365955622254,Natick,MA,42.2775281,-71.3468091
01801,39315.0,40.0,21322.0,1005.0,4.713441515805272,Woburn,MA,42.4884618,-71.13296849999999
01810,34251.0,41.5,16374.0,811.0,4.952974227433736,Andover,Essex County,42.6568574,-71.1407888
01821,31157.0,40.7,16757.0,481.0,2.8704422032583397,Billerica,MA,42.5465306,-71.2517835
01826,30315.0,40.0,16202.0,173.0,1.0677694111838045,Dracut,MA,42.6705383,-71.3000493
01841,47125.0,30.5,18429.0,822.0,4.46036138694449,Lawrence,MA,42.7139972,-71.1656462
01844,48159.0,39.3,24207.0,327.0,1.3508489279960343,Methuen,MA,42.7276358,-71.20426189999999
01851,30379.0,33.5,14022.0,304.0,2.168021680216802,Lowell,MA,42.6325727,-71.3408707
01852,32735.0,35.2,15732.0,783.0,4.977116704805492,Lowell,MA,42.6303002,-71.2992993
01902,46119.0,31.7,19989.0,3125.0,15.63359847916354,Lynn,MA,42.4719938,-70.9398192
01915,40370.0,40.4,21189.0,1268.0,5.984237104157818,Beverly,MA,42.5720581,-70.8476708
01960,51597.0,44.9,25753.0,621.0,2.4113695491787364,Peabody,MA,42.5357932,-70.9665682
01970,42151.0,36.9,21707.0,2675.0,12.323213709863177,Salem,MA,42.5235097,-70.89523369999999
02038,32393.0,38.6,16432.0,1434.0,8.726874391431354,Franklin,MA,42.0870521,-71.4061876
02124,51544.0,34.7,23002.0,8334.0,36.231632031997215,DORCHESTR CTR,MA,42.2826027,-71.067605
02125,33937.0,31.1,16165.0,5661.0,35.02010516548098,Boston,MA,42.3157363,-71.0527482
02127,34732.0,30.6,21661.0,7625.0,35.20151424218642,Boston,MA,42.3364553,-71.0349193
02128,44512.0,33.3,23806.0,13841.0,58.14080483911619,Boston,MA,42.3695431,-71.0200613
02130,38214.0,34.2,22838.0,9583.0,41.96076714248183,Boston,MA,42.3097365,-71.1151431
02131,31733.0,37.7,16020.0,4340.0,27.091136079900124,Boston,MA,42.2832142,-71.1270268
02135,36486.0,29.3,20570.0,7083.0,34.433641225085076,Boston,US,42.3463503,-71.1626756
02136,30207.0,36.5,14813.0,3000.0,20.25248092891379,Boston,US,42.2527785,-71.1299976
02138,36937.0,28.3,18467.0,3889.0,21.059186657280556,Cambridge,MA,42.3803274,-71.13891009999999
02139,35783.0,29.7,21009.0,5999.0,28.55442905421486,Cambridge,MA,42.36475590000001,-71.1032591
02148,60293.0,35.7,30903.0,9395.0,30.40157913471184,Malden,MA,42.4326041,-71.0557196
02149,42717.0,35.6,22040.0,5255.0,23.843012704174228,Everett,US,42.4041313,-71.0557196
02150,37074.0,31.5,17671.0,4477.0,25.33529511629223,Chelsea,MA,42.4000656,-71.0319478
02151,53268.0,38.5,26466.0,7048.0,26.630393712687976,Revere,US,42.4224283,-70.9962875
02155,59193.0,34.9,31704.0,5118.0,16.143073429220287,Medford,MA,42.4274971,-71.10920120000002
02169,55408.0,37.9,29413.0,6819.0,23.183626287695915,Quincy,US,42.25136819999999,-70.9962875
02184,36543.0,40.7,18376.0,2473.0,13.457771005659556,Braintree,MA,42.2020445,-71.014118
02301,59275.0,36.1,25434.0,1738.0,6.833372650782417,Brockton,MA,42.0725522,-71.0378909
02302,34992.0,35.6,15677.0,892.0,5.689864132168144,Brockton,MA,42.08351529999999,-70.99034379999999
02360,57275.0,43.8,28520.0,968.0,3.394109396914446,Plymouth,MA,41.8804637,-70.645473
02368,33265.0,40.9,16080.0,1598.0,9.937810945273633,Randolph,MA,42.1911136,-71.0616623
02472,32943.0,38.5,19516.0,2963.0,15.18241442918631,Watertown,MA,42.3653524,-71.1843543
02703,43774.0,39.7,21716.0,1014.0,4.66936820777307,South Attleboro,MA,41.925494,-71.2992993
02720,31091.0,39.4,13533.0,97.0,0.7167664228182961,Fall River,MA,41.7359452,-71.1151431
02740,43513.0,38.0,18128.0,374.0,2.063106796116505,New Bedford,MA,41.6381659,-70.93684689999999
02780,49456.0,40.7,22802.0,376.0,1.6489781598105429,Taunton,MA,41.9241038,-71.121085
02816,32707.0,43.4,16220.0,81.0,0.499383477188656,Coventry,RI,41.6962336,-71.59613279999999
02860,45227.0,34.2,19461.0,883.0,4.5372796875802885,Pawtucket,RI,41.8684902,-71.38837509999999
02864,33714.0,43.3,17382.0,396.0,2.2782188470831897,Cumberland,RI,41.9721816,-71.4061876
02895,41136.0,37.8,17053.0,194.0,1.13762974256729,Woonsocket,RI,41.9995834,-71.51304449999999
02908,38141.0,28.5,16976.0,1194.0,7.033459000942507,North Providence,RI,41.8380136,-71.4358733
02909,43344.0,29.4,16886.0,1911.0,11.317067393106715,Providence,RI,41.8131441,-71.4596201
02920,38678.0,43.0,15527.0,363.0,2.3378630772203257,Cranston,RI,41.7612384,-71.46555649999999
03038,33585.0,38.7,18268.0,105.0,0.5747755638274579,Londonderry,NH,42.8976471,-71.2715443
03102,31409.0,34.9,15514.0,152.0,0.9797602165785742,Manchester,NH,43.0073961,-71.49523719999999
03103,37301.0,35.3,18348.0,186.0,1.013734466971877,Manchester,US,42.9561485,-71.4418101
03104,32686.0,38.5,17634.0,296.0,1.6785754791879324,Manchester,NH,43.00885590000001,-71.4477469
03301,32488.0,40.0,15512.0,113.0,0.7284682826199071,Concord,NH,43.2086343,-71.5486562
00602,40859.0,39.0,11091.0,55.0,0.4958975746100442,Aguada,,18.3790869,-67.192459
00603,53162.0,39.2,11826.0,99.0,0.837138508371385,Aguadilla Pueblo,,18.4682429,-67.1179511
00612,66251.0,39.3,16439.0,113.0,0.6873897439016972,Arecibo,,18.4528424,-66.7464487
00623,44117.0,40.2,10966.0,54.0,0.4924311508298377,Cabo Rojo,,18.0374812,-67.1536993
00627,34438.0,38.4,9440.0,0.0,0.0,Camuy,,18.4251947,-66.8677563
00641,30183.0,39.2,6044.0,0.0,0.0,Utuado,,18.266146,-66.7005065
00646,38305.0,38.0,11942.0,144.0,1.2058281694858484,Dorado,,18.4622387,-66.2962203
00659,41830.0,38.4,12086.0,22.0,0.18202879364554028,Hatillo,PR,18.4862321,-66.8253782
00662,43101.0,38.9,10205.0,41.0,0.4017638412542871,Isabela,,18.4561305,-67.0226297
00674,43240.0,38.5,11330.0,56.0,0.4942630185348632,Manatí,,18.4204876,-66.48667329999999
00676,39513.0,36.9,8888.0,55.0,0.6188118811881188,Moca,,18.3955528,-67.1170037
00680,54824.0,38.9,13774.0,268.0,1.9456947872803834,Mayagüez,PR,18.1825195,-67.14127839999999
00682,31908.0,35.9,7441.0,56.0,0.7525870178739417,Mayagüez,,18.2323231,-67.1060353
00683,33050.0,41.3,8551.0,61.0,0.7133668576774647,San Germán,,18.079942,-67.04510479999999
00685,41403.0,40.5,8107.0,16.0,0.19736030590847417,San Sebastián,,18.3354598,-66.994627
00687,32484.0,34.3,7663.0,40.0,0.5219887772412893,Morovis,,18.3317609,-66.40334229999999
00692,37329.0,35.6,9273.0,156.0,1.6823034616628922,Vega Alta,,18.4017996,-66.3438275
00693,59513.0,38.0,14057.0,227.0,1.6148538094899338,Vega Baja,,18.4207207,-66.40334229999999
00698,40276.0,39.9,8971.0,103.0,1.1481440196187715,Yauco,,18.0655998,-66.84393240000001
00716,31362.0,38.8,8487.0,41.0,0.4830917874396135,Ponce,,18.0061035,-66.5929503
00719,30772.0,36.4,7465.0,39.0,0.522438044206296,Naranjito,Naranjito,18.250685,-66.30365859999999
00725,88152.0,38.1,26934.0,494.0,1.8341130170045297,Caguas,,18.294378,-66.0344581
00727,57036.0,38.3,20487.0,271.0,1.3227900619905306,Caguas,,18.1866013,-66.058249
00728,42333.0,35.9,11268.0,27.0,0.23961661341853036,Ponce,PR,18.0859651,-66.65337
00729,54198.0,35.9,16030.0,415.0,2.588895820336868,Canóvanas,,18.3715637,-65.9007249
00730,36201.0,38.7,8719.0,157.0,1.8006652139006767,Ponce,,18.0576521,-66.6057378
00736,51116.0,38.6,14792.0,110.0,0.7436452136289886,Cayey,,18.1121798,-66.1662266
00738,33835.0,38.7,9578.0,115.0,1.2006681979536438,Fajardo,,18.33213,-65.6539717
00739,38424.0,37.2,12074.0,119.0,0.9855888686433659,Cidra,,18.1991076,-66.1534242
00745,54253.0,38.1,16079.0,221.0,1.3744635860439083,Río Grande,,18.3450502,-65.8322841
00754,40022.0,38.1,10910.0,253.0,2.3189734188817597,San Lorenzo,,18.1895236,-65.9609256
00767,36962.0,38.6,7480.0,13.0,0.17379679144385027,Yabucoa,,18.0538398,-65.8917378
00769,39871.0,36.6,10706.0,36.0,0.3362600410984495,Coamo,,18.1033386,-66.3557299
00771,38435.0,36.5,9834.0,13.0,0.13219442749644092,Las Piedras,,18.1836055,-65.8679554
00777,40863.0,35.4,11310.0,54.0,0.47745358090185674,Juncos,,18.2266444,-65.9214923
00778,46569.0,36.2,16030.0,278.0,1.7342482844666252,Gurabo,,18.2537692,-65.97608939999999
00783,35856.0,35.8,8374.0,82.0,0.9792213995700979,Corozal,,18.3193182,-66.3081217
00784,43251.0,35.9,9949.0,106.0,1.0654337119308472,Guayama,,17.979522,-66.1103164
00791,51757.0,39.2,14306.0,50.0,0.3495037047392702,Humacao,,18.132987,-65.8203943
00794,30462.0,33.7,6751.0,39.0,0.5776921937490742,Barranquitas,PR,18.2014759,-66.3096094
00795,47106.0,36.4,13620.0,245.0,1.7988252569750367,Juana Díaz,PR,18.0424342,-66.48667329999999
00915,30642.0,38.0,9500.0,2547.0,26.810526315789474,San Juan,PR,18.437837,-66.0493273
00921,38499.0,36.6,12667.0,1208.0,9.53659114233836,San Juan,,18.3934227,-66.09096339999999
00924,56236.0,35.8,17282.0,1228.0,7.105659067237588,San Juan,,18.3974088,-66.0166157
00926,105093.0,40.6,41370.0,1214.0,2.9344935943920714,San Juan,,18.3586321,-66.0702979
00949,80406.0,37.0,27859.0,868.0,3.1156897232492193,Toa Baja,,18.4305854,-66.22481739999999
00953,73537.0,35.4,25566.0,301.0,1.177344911210201,Toa Alta,,18.3915871,-66.25355540000001
00956,75830.0,38.4,25138.0,1070.0,4.256504097382449,Bayamón,,18.3608477,-66.15937319999999
00957,44639.0,38.0,13374.0,625.0,4.673246597876477,Bayamón,,18.3646857,-66.18851289999999
00959,48699.0,39.5,18041.0,1028.0,5.6981320325924285,Bayamón,,18.3902046,-66.1504497
00961,31774.0,41.5,10629.0,414.0,3.895004233700254,Bayamón,,18.4179488,-66.1712716
00969,42316.0,40.2,17895.0,483.0,2.6990779547359596,Guaynabo,,18.3656552,-66.1117828
00971,30349.0,40.9,11437.0,255.0,2.2296056658214565,Guaynabo,,18.3822991,-66.1221928
00976,61862.0,37.2,22691.0,453.0,1.9963862324269535,Trujillo Alto,,18.3656771,-66.0184793
00983,40273.0,38.3,14055.0,473.0,3.365350409107079,Carolina,,18.4481264,-65.9809329
00985,35236.0,40.4,11773.0,531.0,4.51032022424191,Carolina,,18.4370067,-65.93930639999999
00987,60544.0,36.3,22055.0,728.0,3.300838812060757,Carolina,,18.3546149,-65.94525279999999
01020,30593.0,43.0,14460.0,153.0,1.058091286307054,Chicopee,MA,42.1753663,-72.5737187
01040,40079.0,35.6,15409.0,458.0,2.9722889220585373,Holyoke,MA,42.2172092,-72.6269437
01085,41121.0,38.4,19674.0,102.0,0.518450747179018,Westfield,MA,42.1318779,-72.7570024
01109,30987.0,25.4,9737.0,729.0,7.486905617746739,Springfield,MA,42.1237147,-72.5500596
01201,45557.0,43.5,21109.0,229.0,1.084845326637927,Pittsfield,MA,42.46345030000001,-73.3001233
01420,40419.0,33.9,17990.0,305.0,1.6953863257365203,Fitchburg,MA,42.5768698,-71.8334145
01453,40978.0,41.4,20605.0,286.0,1.38801261829653,Leominster,MA,42.52334339999999,-71.7385225
01545,35818.0,39.8,18000.0,289.0,1.6055555555555556,Shrewsbury,MA,42.2834603,-71.726659
01604,34628.0,35.4,15836.0,445.0,2.8100530436979034,Worcester,MA,42.2530794,-71.7741103
01701,31780.0,43.4,16439.0,471.0,2.865137782103534,Framingham,MA,42.3240042,-71.4536835
01702,38180.0,33.5,20217.0,1010.0,4.995795617549587,Framingham,MA,42.2781628,-71.4358733
12866,37268.0,41.2,18450.0,275.0,1.4905149051490514,Saratoga Springs,NY,43.0964412,-73.7242486
12901,32843.0,35.0,14785.0,71.0,0.4802164355765979,Plattsburgh,NY,44.74786659999999,-73.44167209999999
13021,39326.0,42.0,18081.0,354.0,1.9578563132570102,Owasco,NY,42.9024331,-76.5719414
13027,31724.0,44.9,15534.0,94.0,0.6051242435946955,Lysander,NY,43.1474925,-76.3868797
13045,30009.0,32.9,13931.0,163.0,1.1700524011198048,Cortland,US,42.5890797,-76.2015572
13090,30295.0,37.9,16306.0,168.0,1.0302955967128664,Liverpool,NY,43.1462926,-76.2226032
13126,37190.0,35.4,16185.0,157.0,0.9700339820821748,Oswego,NY,43.4244918,-76.4794435
13440,42221.0,42.6,18428.0,142.0,0.7705665291947037,Rome,NY,43.2212399,-75.45777749999999
13501,38464.0,34.1,14124.0,464.0,3.285188331917304,Utica,NY,43.0808833,-75.21873459999999
13502,32415.0,38.4,13319.0,386.0,2.898115474134695,Utica,US,43.1467071,-75.17788530000001
13601,38348.0,33.2,17332.0,170.0,0.9808446803600277,Watertown,NY,43.9959887,-75.92309759999999
13760,44585.0,42.3,20853.0,412.0,1.9757349062485015,Endicott,US,42.1387904,-76.07399989999999
14075,42837.0,43.6,21396.0,129.0,0.6029164329781268,Hamburg,NY,42.7279833,-78.8609122
14086,32159.0,41.6,17069.0,87.0,0.509695940008202,Lancaster,NY,42.8982361,-78.6341996
14094,50605.0,41.5,23575.0,152.0,0.6447507953340403,Lockport,NY,43.17139479999999,-78.6795836
14120,44800.0,42.6,21994.0,158.0,0.7183777393834683,North Tonawanda,NY,43.0744059,-78.8609122
14127,30329.0,45.4,15202.0,98.0,0.6446520194711223,Orchard Park,NY,42.7576584,-78.77028949999999
