City,Population,Public Transportation Rate,Median Age,Lat,Lng
ABAC,25590.0,0.346470333477696,36.9,31.48307599999999,-83.53019429999999
Aberdeen,31027.0,0.3622112701146013,36.7,57.149717,-2.094278
Aberdeen Township,30709.0,11.924538020732728,41.7,40.4170948,-74.2221155
Abilene,57336.0,0.8020122056596677,31.45,32.4487364,-99.73314390000002
Abingdon,29587.0,1.9810023747031624,35.6,36.70983349999999,-81.9773482
Acworth,91872.0,0.3132354576174137,36.75,34.0659329,-84.6768796
Adair Village,41976.0,2.981043884705272,30.3,44.6706762,-123.2178759
Addison,39709.0,3.6322171542997,33.9,32.96179,-96.82916850000001
Adelaide,44288.0,1.4757826486669567,39.5,-34.9284989,138.6007456
Adelphi,49006.0,19.69913777288571,31.5,40.7198865,-73.6522537
Adrian,41793.0,0.3702332469455757,37.1,41.8975471,-84.03716589999999
Agua Dulce,35826.0,1.567561314206386,36.4,34.4963817,-118.3256348
Aguada,40859.0,0.4958975746100442,39.0,18.3801579,-67.188704
Aguadilla Pueblo,53162.0,0.837138508371385,39.2,18.4274454,-67.1540698
Aguas Buenas,28739.0,2.7913361805979258,36.0,18.2568989,-66.1029442
Aibonito,25090.0,0.22071307300509335,38.3,18.140702,-66.2596811
Aiea,38526.0,5.597248280175109,42.8,21.386338,-157.9255357
Aiken,37074.0,0.17722640673460344,46.6,33.5604168,-81.7195533
Akron,31769.0,1.0296870821075157,43.3,41.0814447,-81.51900529999999
Alabaster,27001.0,0.10718113612004287,36.2,33.2442813,-86.8163773
Alafaya,152601.0,1.517116575309695,28.6,28.5641,-81.2114
Alameda,62571.0,16.104784333967803,39.5,37.7798721,-122.2821855
Alamo,38269.0,0.0,27.3,36.1904231,-95.8894128
Alamogordo,36807.0,0.06920894179527995,39.4,32.8995325,-105.960265
Albany,87895.0,1.11158672427205,39.76666666666667,42.6525793,-73.7562317
Albemarle,26433.0,0.3311884935654807,41.5,35.1555092,-80.8380384
Albuquerque,509222.0,2.185756365888694,37.75,35.0843859,-106.650422
Alexandria,232360.0,16.375179961599677,36.542857142857144,38.8048355,-77.0469214
Algood,37919.0,0.06995230524642289,33.5,38.126258,-85.89134899999999
Alhambra,84378.0,3.52272964619308,40.40000000000001,34.095287,-118.1270146
Alice,27738.0,0.0,34.0,27.7522487,-98.0697249
Aliquippa,32188.0,1.5934627170582227,45.4,40.615537,-80.26218519999999
Allen,33889.0,1.6633520159103237,37.1,33.1031744,-96.67055030000002
Allen Park,27814.0,0.12599417276950942,42.0,42.2575385,-83.2110375
Allentown,139658.0,3.878619792484864,37.03333333333333,40.6022939,-75.4714098
Alliance,34796.0,0.29488169627185284,40.4,30.1800913,-93.21995350000002
Aloma,50142.0,1.974850198328973,33.8,28.602064,-81.3233952
Alpha,29610.0,1.7226017226017225,40.8,36.7499753,-95.9631787
Alpharetta,163810.0,0.9664862379625441,36.966666666666654,34.0753762,-84.2940899
Alta Loma,40822.0,1.4682147133857448,39.3,34.1222317,-117.5981086
Altadena,37481.0,3.5742607907556363,41.3,34.190162,-118.1313188
Altamonte Springs,34729.0,0.07621057568296401,37.2,28.6611089,-81.3656242
Alton,69525.0,1.0662093647479869,32.15000000000001,38.8906038,-90.1842764
Altoona,63235.0,0.5949014088507345,40.25,40.5186809,-78.3947359
Alvin,46333.0,0.0,34.9,29.4238472,-95.24410089999999
Amarillo,107418.0,1.2607118740076633,33.43333333333333,35.2219971,-101.8312969
American Canyon,30811.0,2.098251457119068,37.3,38.1749178,-122.2608044
Ames,58891.0,8.730485151847509,26.5,42.0307812,-93.63191309999999
Amity Harbor,27423.0,9.861411519666747,40.1,40.6619534,-73.398867
Amsterdam,28926.0,1.1935782129948729,41.5,52.3675734,4.9041389
Anaheim,340373.0,4.6040477653225205,33.81666666666666,33.8365932,-117.9143012
Anchorage,116055.0,2.6550475002115688,31.76666666666667,61.2180556,-149.9002778
Anderson,68608.0,0.6310434414083251,39.6,36.1956286,-95.96413129999999
Andover,81152.0,3.8683844261917986,40.25,42.6583356,-71.1367953
Ankeny,29895.0,0.11581128855296842,32.0,41.7317884,-93.6001278
Ann Arbor,154741.0,8.632630501436019,32.15,42.2808256,-83.7430378
Annandale,59872.0,8.73397435897436,39.1,38.8303905,-77.1963703
Annapolis,37482.0,4.884011234786227,42.0,38.9784453,-76.4921829
Antioch,192199.0,4.921590842734804,33.666666666666664,38.0049214,-121.805789
Apache Junction,28038.0,0.340560790101033,49.9,33.4150485,-111.5495777
Apex,33385.0,0.38812921717322507,37.4,36.0756299,-95.8284939
Apopka,90983.0,0.8965690619034633,36.7,28.6934076,-81.5322149
Apple Valley,78157.0,0.9459485648200786,37.95,34.5008311,-117.1858759
Appleton,73337.0,0.2607344248291153,36.35,44.2619309,-88.41538469999999
Arcadia,97536.0,6.565715034506009,40.9,34.1397292,-118.0353449
Arcola,31353.0,0.2836343008414484,35.2,39.684755,-88.30643669999999
Ardmore,35838.0,0.8377511617252438,37.6,34.1742611,-97.14362539999999
Arecibo,66251.0,0.6873897439016972,39.3,18.3464019,-66.7528196
Arlington,480360.0,6.771074579624491,35.55384615384615,32.735687,-97.10806559999999
Arlington Heights,80684.0,6.488465392325531,41.55,42.0883603,-87.98062650000001
Arnold,36306.0,0.33092493519386684,38.9,37.6802559,-97.33377589999999
Arroyo Grande,30076.0,0.7622420696027102,47.6,35.1185868,-120.5907252
Artesia,50069.0,2.6363838788688487,44.2,33.8658484,-118.0831212
Arvada,36680.0,2.4088576829597623,41.4,39.8027644,-105.0874842
Ashburn,94148.0,4.297147901964497,33.7,39.0437567,-77.4874416
Asheboro,33353.0,0.08265032026999104,40.2,35.7079146,-79.8136446
Asheville,70385.0,1.062501036034249,38.15,35.5950581,-82.5514869
Ashland,32347.0,0.2197179105535474,39.4,42.1945758,-122.7094767
Ashtabula,32956.0,0.9495641344956414,41.9,41.8650534,-80.7898089
Ashwaubenon,42463.0,0.3419816697824997,35.4,44.4822137,-88.0701033
Aspen Hill,68733.0,18.72838752796908,40.3,39.0795529,-77.07303379999999
Atascadero,31899.0,1.3894678338196471,42.8,35.4894169,-120.6707255
Atascocita,57329.0,1.1089296102385109,33.4,29.99883059999999,-95.1765978
Athens,166135.0,1.6741192677128578,31.7,37.9838096,23.7275388
Atlanta,461976.0,11.903166283724598,34.230769230769226,33.7489954,-84.3879824
Atlantic City,39521.0,27.679422579327248,37.0,39.3642834,-74.4229266
Atwater,38007.0,0.5113935474167105,32.8,37.3477174,-120.609084
Auburn,138544.0,3.4617362906642386,36.825,32.6098566,-85.48078249999999
Auburndale,29351.0,0.11557610241820768,39.7,28.0652975,-81.7886906
Audubon,45307.0,2.4825311401414867,41.5,32.8403133,-96.6227096
Augusta,177176.0,0.7548154859540231,35.425,33.4734978,-82.0105148
Aurora,475607.0,4.900933703712899,32.42222222222223,39.7294319,-104.8319195
Austell,26365.0,2.8593376579037213,31.1,33.8126059,-84.6343783
Austin,725220.0,5.560267598400693,33.415789473684214,30.267153,-97.7430608
Aventura,32103.0,2.25888520545833,45.0,25.9564812,-80.1392121
Avon,32558.0,0.0,36.2,37.55808640000001,-97.27436619999999
Avon Park,25848.0,4.672372667321453,45.3,27.5958672,-81.5061862
Avondale,76557.0,0.8109117423026697,30.0,33.4355977,-112.3496021
Azalea Park,32410.0,2.8755675462262285,34.7,38.441265,-87.43172899999999
Añasco,28805.0,0.0,39.7,18.2854476,-67.1402935
BAYVIEW GARDE,25495.0,0.928305014504766,42.6,48.0072694,-122.4618222
BETHEL,44765.0,1.5735074818738108,32.4,37.2518524,-95.2314827
BRECKNRDG HLS,35589.0,1.8002257336343117,36.5,38.6965667,-90.3901617
BROOKSIDE VL,44451.0,0.18468468468468469,35.8,29.5891033,-95.3259976
BRWNSBORO VLG,30237.0,0.8858581352367599,41.1,38.2631263,-85.6657948
BVL,38996.0,1.1777037859168824,35.5,-12.0486718,-77.0314915
Bakersfield,458006.0,1.4720419371317444,30.3,35.3732921,-119.0187125
Baldwin,33430.0,17.74404280470354,39.8,40.3381252,-79.9789404
Baldwin Hills,33012.0,13.847855280827869,41.5,34.006677,-118.3505779
Baldwin Park,77692.0,4.527048402404303,31.9,34.0852868,-117.9608978
Baltimore,784822.0,13.502715651995027,37.39473684210526,39.2903848,-76.6121893
Banning,32793.0,1.2806620037434735,44.2,33.9255713,-116.8764103
Bardstown,29228.0,0.0,35.8,37.8092279,-85.46690249999999
Barranquitas,30462.0,0.5776921937490742,33.7,18.1866242,-66.3062802
Barstow,32831.0,2.1404399323181047,33.2,34.8957957,-117.0172826
Bartlesville,26111.0,0.18421052631578946,41.7,36.7473114,-95.98081789999999
Bartow,26273.0,0.202020202020202,36.9,27.8964147,-81.8431374
Basking Ridge,26955.0,5.815382095175691,42.8,40.7066174,-74.5493284
Bastrop,25444.0,0.6515944318294007,39.2,30.1104947,-97.3152701
Batavia,62340.0,1.7503566470245158,38.45,41.8500284,-88.3125738
Batesville,25349.0,0.21769995267392334,37.8,35.769799,-91.6409721
Baton Rouge,261135.0,2.1491011912282567,33.5625,30.4514677,-91.18714659999999
Battle Creek,26055.0,0.5088421755088421,40.7,42.3211522,-85.17971419999999
Battle Ground,34840.0,0.3246284807387101,36.9,45.7807959,-122.5477298
Bay City,67396.0,0.6899732843831619,40.65,43.5944677,-83.8888647
Bay Shore,65865.0,8.66397256918932,34.8,40.7250986,-73.2453946
Bayamón,200942.0,4.6307217403879015,39.35,18.389396,-66.1653224
Bayonne,64763.0,23.116621983914214,38.0,40.6687141,-74.1143091
Bayside,29496.0,1.3710012463647694,43.0,42.339084,-87.856445
Baytown,53091.0,0.5730932709298439,31.5,29.7355047,-94.97742740000001
Beach Park,26374.0,2.471963354920234,34.7,42.4222435,-87.85729549999999
Bear,40797.0,2.2048911996918927,36.2,36.0603957,-95.8765243
Bear Creek Village,40814.0,1.869970474150408,37.7,29.8453057,-95.6379087
