,City,Population,Public Transportation Rate,datetime,co,no,no2,o3,so2,pm2_5,pm10,nh3,aqi,State,Zipcode
0,Bell Gardens,130178.0,6.861791595095485,2021-02-01 12:00:00,700.95,50.52,47.3,0.0,7.75,29.64,43.23,6.84,4.0,CA,90201
1,Bell Gardens,130178.0,6.861791595095485,2021-02-01 11:00:00,687.6,47.83,50.04,0.0,7.21,29.84,43.87,6.71,4.0,CA,90201
2,Bell Gardens,130178.0,6.861791595095485,2021-02-01 10:00:00,714.3,48.73,53.47,0.0,6.32,30.97,44.93,6.33,4.0,CA,90201
3,Bell Gardens,130178.0,6.861791595095485,2021-02-01 09:00:00,794.41,56.33,58.26,0.0,4.89,34.66,48.93,5.57,4.0,CA,90201
4,Bell Gardens,130178.0,6.861791595095485,2021-02-01 08:00:00,1001.36,80.47,67.17,0.0,3.79,43.97,61.04,5.95,4.0,CA,90201
5,Bell Gardens,130178.0,6.861791595095485,2021-02-01 07:00:00,1308.44,121.59,79.51,0.0,3.46,58.03,80.4,7.79,5.0,CA,90201
6,Bell Gardens,130178.0,6.861791595095485,2021-02-01 06:00:00,1762.39,189.54,100.08,0.0,3.37,77.22,107.91,10.13,5.0,CA,90201
7,Bell Gardens,130178.0,6.861791595095485,2021-02-01 05:00:00,2162.93,243.19,122.01,0.0,3.99,88.52,121.69,12.16,5.0,CA,90201
8,Bell Gardens,130178.0,6.861791595095485,2021-02-01 04:00:00,2243.04,253.92,134.35,0.0,5.01,86.1,116.12,13.81,5.0,CA,90201
9,Bell Gardens,130178.0,6.861791595095485,2021-02-01 03:00:00,2109.53,232.46,137.09,0.0,6.74,77.74,102.78,14.95,5.0,CA,90201
10,Bell Gardens,130178.0,6.861791595095485,2021-02-01 02:00:00,1842.5,189.54,135.72,0.01,10.37,70.51,91.45,13.68,5.0,CA,90201
11,Bell Gardens,130178.0,6.861791595095485,2021-02-01 01:00:00,1401.9,111.76,138.46,0.82,18.36,61.97,78.94,10.51,5.0,CA,90201
12,Bell Gardens,130178.0,6.861791595095485,2021-02-01 00:00:00,1228.33,80.47,141.2,5.41,23.6,63.11,78.39,9.25,5.0,CA,90201
13,Bell Gardens,130178.0,6.861791595095485,2021-01-31 23:00:00,1388.55,107.29,138.46,8.32,21.94,70.39,87.0,11.78,5.0,CA,90201
14,Bell Gardens,130178.0,6.861791595095485,2021-01-31 22:00:00,1428.6,119.81,127.49,9.48,20.5,67.96,85.16,14.69,5.0,CA,90201
15,Bell Gardens,130178.0,6.861791595095485,2021-01-31 21:00:00,1415.25,126.96,113.79,9.39,17.64,62.26,80.47,16.97,5.0,CA,90201
16,Bell Gardens,130178.0,6.861791595095485,2021-01-31 20:00:00,1415.25,132.32,104.19,8.14,14.66,59.43,79.03,17.73,5.0,CA,90201
17,Bell Gardens,130178.0,6.861791595095485,2021-01-31 19:00:00,1508.71,153.78,95.96,5.36,11.09,62.16,84.38,19.25,5.0,CA,90201
18,Bell Gardens,130178.0,6.861791595095485,2021-01-31 18:00:00,1735.69,198.48,82.25,6.08,8.23,69.38,93.51,22.8,5.0,CA,90201
19,Bell Gardens,130178.0,6.861791595095485,2021-01-31 17:00:00,1522.06,171.66,73.34,2.68,6.68,59.06,81.39,20.52,5.0,CA,90201
20,Bell Gardens,130178.0,6.861791595095485,2021-01-31 16:00:00,1161.58,118.02,63.75,0.36,5.84,45.9,64.57,15.71,4.0,CA,90201
21,Bell Gardens,130178.0,6.861791595095485,2021-01-31 15:00:00,767.71,63.48,47.98,0.0,5.6,31.62,45.41,9.88,4.0,CA,90201
22,Bell Gardens,130178.0,6.861791595095485,2021-01-31 14:00:00,527.38,29.95,39.41,0.01,5.07,21.94,32.46,5.45,3.0,CA,90201
23,Bell Gardens,130178.0,6.861791595095485,2021-01-31 13:00:00,494.0,25.48,38.73,0.02,4.89,22.18,32.5,4.88,3.0,CA,90201
24,Bell Gardens,130178.0,6.861791595095485,2021-01-31 12:00:00,514.03,26.82,42.16,0.01,4.89,24.73,35.64,5.13,3.0,CA,90201
25,Bell Gardens,130178.0,6.861791595095485,2021-01-31 11:00:00,547.41,28.61,47.3,0.01,4.59,28.4,40.54,5.26,4.0,CA,90201
26,Bell Gardens,130178.0,6.861791595095485,2021-01-31 10:00:00,647.54,37.1,55.52,0.0,4.35,36.1,50.67,5.83,4.0,CA,90201
27,Bell Gardens,130178.0,6.861791595095485,2021-01-31 09:00:00,867.84,61.69,70.6,0.0,4.47,51.42,70.83,7.73,5.0,CA,90201
28,Bell Gardens,130178.0,6.861791595095485,2021-01-31 08:00:00,1255.04,105.5,93.22,0.0,4.89,74.82,102.16,12.16,5.0,CA,90201
29,Bell Gardens,130178.0,6.861791595095485,2021-01-31 07:00:00,1628.88,150.2,112.41,0.0,5.01,95.75,129.89,15.71,5.0,CA,90201
30,Bell Gardens,130178.0,6.861791595095485,2021-01-31 06:00:00,1895.9,178.81,127.49,0.0,4.77,108.5,144.58,14.82,5.0,CA,90201
31,Bell Gardens,130178.0,6.861791595095485,2021-01-31 05:00:00,2002.72,187.76,139.83,0.0,4.47,109.99,141.58,11.4,5.0,CA,90201
32,Bell Gardens,130178.0,6.861791595095485,2021-01-31 04:00:00,1762.39,148.42,143.95,0.0,4.47,96.21,118.91,7.03,5.0,CA,90201
33,Bell Gardens,130178.0,6.861791595095485,2021-01-31 03:00:00,1428.6,99.24,148.06,0.0,6.56,80.86,96.26,5.76,5.0,CA,90201
34,Bell Gardens,130178.0,6.861791595095485,2021-01-31 02:00:00,1108.17,55.88,142.57,0.12,10.37,65.67,76.33,6.4,5.0,CA,90201
35,Bell Gardens,130178.0,6.861791595095485,2021-01-31 01:00:00,687.6,14.53,104.19,26.82,14.66,44.3,50.31,3.64,4.0,CA,90201
36,Bell Gardens,130178.0,6.861791595095485,2021-01-31 00:00:00,427.25,6.76,47.98,79.39,15.5,28.05,31.05,1.38,4.0,CA,90201
37,Bell Gardens,130178.0,6.861791595095485,2021-01-30 23:00:00,390.53,7.94,35.64,83.69,12.28,22.69,25.13,1.27,3.0,CA,90201
38,Bell Gardens,130178.0,6.861791595095485,2021-01-30 22:00:00,353.81,7.94,27.76,81.54,10.01,16.7,18.79,1.24,2.0,CA,90201
39,Bell Gardens,130178.0,6.861791595095485,2021-01-30 21:00:00,330.45,8.05,23.65,74.39,8.58,11.74,13.77,1.27,2.0,CA,90201
40,Bell Gardens,130178.0,6.861791595095485,2021-01-30 20:00:00,327.11,8.72,22.28,65.8,7.87,9.13,11.13,1.25,1.0,CA,90201
41,Bell Gardens,130178.0,6.861791595095485,2021-01-30 19:00:00,363.83,12.74,27.76,52.93,9.06,10.77,13.31,1.25,2.0,CA,90201
42,Bell Gardens,130178.0,6.861791595095485,2021-01-30 18:00:00,1134.87,114.44,57.58,9.48,5.78,48.28,60.96,4.37,4.0,CA,90201
43,Bell Gardens,130178.0,6.861791595095485,2021-01-30 17:00:00,1161.58,123.38,56.89,4.69,4.11,45.79,59.63,4.37,4.0,CA,90201
44,Bell Gardens,130178.0,6.861791595095485,2021-01-30 16:00:00,1041.41,101.03,59.63,0.97,3.7,40.27,53.18,4.5,4.0,CA,90201
45,Bell Gardens,130178.0,6.861791595095485,2021-01-30 15:00:00,794.41,61.69,56.21,0.0,3.43,29.96,39.97,3.2,4.0,CA,90201
46,Bell Gardens,130178.0,6.861791595095485,2021-01-30 14:00:00,620.84,35.32,52.78,0.0,2.98,21.92,29.44,1.44,3.0,CA,90201
47,Bell Gardens,130178.0,6.861791595095485,2021-01-30 13:00:00,614.17,33.98,52.78,0.0,2.68,22.06,29.3,1.11,3.0,CA,90201
48,Bell Gardens,130178.0,6.861791595095485,2021-01-30 12:00:00,647.54,39.79,53.47,0.0,2.56,24.17,31.58,1.08,3.0,CA,90201
49,Bell Gardens,130178.0,6.861791595095485,2021-01-30 11:00:00,714.3,50.07,53.47,0.0,2.5,27.43,34.62,1.11,4.0,CA,90201
50,Bell Gardens,130178.0,6.861791595095485,2021-01-30 10:00:00,854.49,73.31,54.15,0.0,2.5,34.34,43.32,1.22,4.0,CA,90201
51,Bell Gardens,130178.0,6.861791595095485,2021-01-30 09:00:00,1201.63,126.96,58.26,0.0,2.62,52.21,67.81,1.73,5.0,CA,90201
52,Bell Gardens,130178.0,6.861791595095485,2021-01-30 08:00:00,1695.63,202.06,69.23,0.0,3.49,79.03,101.13,3.83,5.0,CA,90201
53,Bell Gardens,130178.0,6.861791595095485,2021-01-30 07:00:00,2056.12,250.34,78.14,0.0,4.23,96.96,123.47,7.35,5.0,CA,90201
54,Bell Gardens,130178.0,6.861791595095485,2021-01-30 06:00:00,2056.12,253.92,80.88,0.0,4.53,92.15,117.48,7.85,5.0,CA,90201
55,Bell Gardens,130178.0,6.861791595095485,2021-01-30 05:00:00,1789.09,216.37,80.2,0.0,5.48,71.02,92.16,6.84,5.0,CA,90201
56,Bell Gardens,130178.0,6.861791595095485,2021-01-30 04:00:00,1174.93,125.17,82.25,0.0,11.44,38.01,51.0,5.7,4.0,CA,90201
57,Bell Gardens,130178.0,6.861791595095485,2021-01-30 03:00:00,600.82,33.53,87.05,0.0,22.65,13.26,18.4,3.67,2.0,CA,90201
58,Bell Gardens,130178.0,6.861791595095485,2021-01-30 02:00:00,500.68,12.29,84.31,1.39,20.74,9.17,12.81,3.36,2.0,CA,90201
59,Bell Gardens,130178.0,6.861791595095485,2021-01-30 01:00:00,373.84,1.82,55.52,26.11,15.26,5.19,7.34,2.38,2.0,CA,90201
60,Bell Gardens,130178.0,6.861791595095485,2021-01-30 00:00:00,303.75,1.23,32.56,48.64,10.85,3.24,4.66,1.47,1.0,CA,90201
61,Bell Gardens,130178.0,6.861791595095485,2021-01-29 23:00:00,300.41,1.93,30.16,50.78,10.37,3.19,4.58,1.39,1.0,CA,90201
62,Bell Gardens,130178.0,6.861791595095485,2021-01-29 22:00:00,310.42,2.74,30.85,48.64,10.85,3.48,4.86,1.36,1.0,CA,90201
63,Bell Gardens,130178.0,6.861791595095485,2021-01-29 21:00:00,337.12,5.14,37.01,41.84,12.76,4.65,6.22,1.47,1.0,CA,90201
64,Bell Gardens,130178.0,6.861791595095485,2021-01-29 20:00:00,367.17,9.05,42.16,36.12,13.71,6.2,8.1,1.69,2.0,CA,90201
65,Bell Gardens,130178.0,6.861791595095485,2021-01-29 19:00:00,420.57,16.54,48.67,28.25,15.14,9.64,12.23,1.84,2.0,CA,90201
66,Bell Gardens,130178.0,6.861791595095485,2021-01-29 18:00:00,1588.82,187.76,77.46,2.66,12.28,58.44,72.41,6.71,5.0,CA,90201
67,Bell Gardens,130178.0,6.861791595095485,2021-01-29 17:00:00,1562.12,180.6,77.46,1.02,9.42,56.47,70.4,7.35,5.0,CA,90201
68,Bell Gardens,130178.0,6.861791595095485,2021-01-29 16:00:00,1348.5,141.26,77.46,0.12,8.35,48.69,59.57,7.54,4.0,CA,90201
69,Bell Gardens,130178.0,6.861791595095485,2021-01-29 15:00:00,921.25,73.31,74.03,0.0,7.45,32.09,38.96,4.75,4.0,CA,90201
70,Bell Gardens,130178.0,6.861791595095485,2021-01-29 14:00:00,587.46,21.01,73.34,0.07,7.51,17.46,21.73,2.01,2.0,CA,90201
71,Bell Gardens,130178.0,6.861791595095485,2021-01-29 13:00:00,433.92,2.12,66.49,10.46,10.37,10.99,14.04,1.25,2.0,CA,90201
72,Bell Gardens,130178.0,6.861791595095485,2021-01-29 12:00:00,343.8,0.05,51.41,28.97,14.54,7.83,9.96,0.96,2.0,CA,90201
73,Bell Gardens,130178.0,6.861791595095485,2021-01-29 11:00:00,347.14,0.07,50.04,26.82,11.92,7.4,9.42,1.0,2.0,CA,90201
74,Bell Gardens,130178.0,6.861791595095485,2021-01-29 10:00:00,350.48,0.07,49.35,26.82,9.66,6.71,8.75,1.01,2.0,CA,90201
75,Bell Gardens,130178.0,6.861791595095485,2021-01-29 09:00:00,350.48,0.05,47.3,31.11,9.54,6.2,8.48,1.08,2.0,CA,90201
76,Bell Gardens,130178.0,6.861791595095485,2021-01-29 08:00:00,340.46,0.02,42.84,37.19,9.18,5.68,8.14,1.2,2.0,CA,90201
77,Bell Gardens,130178.0,6.861791595095485,2021-01-29 07:00:00,333.79,0.03,40.44,40.05,8.23,5.65,8.29,1.31,2.0,CA,90201
78,Bell Gardens,130178.0,6.861791595095485,2021-01-29 06:00:00,313.76,0.01,34.96,47.21,7.21,4.97,7.41,1.17,1.0,CA,90201
79,Bell Gardens,130178.0,6.861791595095485,2021-01-29 05:00:00,297.07,0.0,30.85,52.93,5.96,4.59,6.97,1.12,1.0,CA,90201
80,Bell Gardens,130178.0,6.861791595095485,2021-01-29 04:00:00,290.39,0.0,28.1,58.65,5.25,4.36,7.17,1.19,1.0,CA,90201
81,Bell Gardens,130178.0,6.861791595095485,2021-01-29 03:00:00,280.38,0.0,25.02,64.37,5.31,3.94,6.72,1.14,1.0,CA,90201
82,Bell Gardens,130178.0,6.861791595095485,2021-01-29 02:00:00,273.71,0.0,23.99,68.67,5.42,3.9,6.64,1.01,1.0,CA,90201
83,Bell Gardens,130178.0,6.861791595095485,2021-01-29 01:00:00,283.72,0.03,22.28,73.67,5.66,5.02,8.7,0.94,1.0,CA,90201
84,Bell Gardens,130178.0,6.861791595095485,2021-01-29 00:00:00,310.42,0.31,22.28,79.39,6.62,7.73,13.11,1.01,1.0,CA,90201
85,Bell Gardens,130178.0,6.861791595095485,2021-01-28 23:00:00,333.79,1.05,21.94,83.69,7.57,10.18,15.71,1.09,2.0,CA,90201
86,Bell Gardens,130178.0,6.861791595095485,2021-01-28 22:00:00,327.11,1.87,20.05,87.26,7.87,11.37,16.76,1.11,2.0,CA,90201
87,Bell Gardens,130178.0,6.861791595095485,2021-01-28 21:00:00,337.12,3.8,22.96,82.25,8.94,14.45,20.42,1.01,2.0,CA,90201
88,Bell Gardens,130178.0,6.861791595095485,2021-01-28 20:00:00,380.52,7.26,31.53,69.38,11.21,18.62,25.34,1.05,2.0,CA,90201
89,Bell Gardens,130178.0,6.861791595095485,2021-01-28 19:00:00,487.33,15.65,46.61,52.21,14.66,25.81,33.58,1.43,4.0,CA,90201
90,Bell Gardens,130178.0,6.861791595095485,2021-01-28 18:00:00,1228.33,104.61,76.77,9.3,10.61,52.77,67.99,7.98,5.0,CA,90201
91,Bell Gardens,130178.0,6.861791595095485,2021-01-28 17:00:00,1241.68,108.18,74.03,3.22,6.8,50.27,64.42,8.23,5.0,CA,90201
92,Bell Gardens,130178.0,6.861791595095485,2021-01-28 16:00:00,1068.12,84.94,70.6,0.4,5.25,43.62,55.56,5.57,4.0,CA,90201
93,Bell Gardens,130178.0,6.861791595095485,2021-01-28 15:00:00,881.2,59.01,64.43,0.0,4.71,36.56,46.04,3.64,4.0,CA,90201
94,Bell Gardens,130178.0,6.861791595095485,2021-01-28 14:00:00,767.71,45.15,61.01,0.0,4.41,31.18,39.25,2.28,4.0,CA,90201
95,Bell Gardens,130178.0,6.861791595095485,2021-01-28 13:00:00,814.44,54.54,61.69,0.0,4.29,33.08,42.04,2.22,4.0,CA,90201
96,Bell Gardens,130178.0,6.861791595095485,2021-01-28 12:00:00,881.2,65.27,65.12,0.0,4.35,35.76,45.86,2.41,4.0,CA,90201
97,Bell Gardens,130178.0,6.861791595095485,2021-01-28 11:00:00,921.25,72.42,69.23,0.0,4.83,38.12,48.87,2.66,4.0,CA,90201
98,Bell Gardens,130178.0,6.861791595095485,2021-01-28 10:00:00,1014.71,81.36,75.4,0.0,5.78,41.83,53.43,2.95,4.0,CA,90201
99,Bell Gardens,130178.0,6.861791595095485,2021-01-28 09:00:00,1214.98,105.5,81.57,0.0,6.08,50.86,64.88,3.04,5.0,CA,90201
100,Bell Gardens,130178.0,6.861791595095485,2021-01-28 08:00:00,1428.6,135.9,86.37,0.0,5.96,59.47,77.83,3.64,5.0,CA,90201
101,Bell Gardens,130178.0,6.861791595095485,2021-01-28 07:00:00,1548.77,157.36,85.68,0.0,6.02,62.24,84.25,5.7,5.0,CA,90201
102,Bell Gardens,130178.0,6.861791595095485,2021-01-28 06:00:00,1495.36,150.2,82.94,0.0,6.38,54.96,77.5,7.22,5.0,CA,90201
103,Bell Gardens,130178.0,6.861791595095485,2021-01-28 05:00:00,1375.2,130.53,83.63,0.0,6.91,45.27,66.2,7.85,4.0,CA,90201
104,Bell Gardens,130178.0,6.861791595095485,2021-01-28 04:00:00,1228.33,109.08,87.74,0.0,7.75,36.45,54.16,8.11,4.0,CA,90201
105,Bell Gardens,130178.0,6.861791595095485,2021-01-28 03:00:00,988.01,75.1,87.74,0.0,7.75,24.87,37.92,6.9,3.0,CA,90201
106,Bell Gardens,130178.0,6.861791595095485,2021-01-28 02:00:00,700.95,32.19,85.0,0.21,7.63,14.11,22.84,5.64,2.0,CA,90201
107,Bell Gardens,130178.0,6.861791595095485,2021-01-28 01:00:00,410.56,2.88,55.52,29.68,7.15,6.23,11.24,2.88,2.0,CA,90201
108,Bell Gardens,130178.0,6.861791595095485,2021-01-27 00:00:00,337.12,4.36,31.87,79.39,14.31,11.23,14.32,1.28,2.0,CA,90201
109,Bell Gardens,130178.0,6.861791595095485,2021-01-26 23:00:00,360.49,7.26,33.24,82.25,15.14,14.28,17.33,1.35,2.0,CA,90201
110,Bell Gardens,130178.0,6.861791595095485,2021-01-26 22:00:00,363.83,8.72,30.85,80.82,12.99,13.26,16.03,1.58,2.0,CA,90201
111,Bell Gardens,130178.0,6.861791595095485,2021-01-26 21:00:00,347.14,9.16,27.42,75.82,10.49,10.41,13.06,1.69,2.0,CA,90201
112,Bell Gardens,130178.0,6.861791595095485,2021-01-26 20:00:00,333.79,9.16,25.36,70.1,8.82,7.56,10.18,1.85,1.0,CA,90201
113,Bell Gardens,130178.0,6.861791595095485,2021-01-26 19:00:00,367.17,12.85,31.53,57.22,9.06,8.1,11.52,2.34,1.0,CA,90201
114,Bell Gardens,130178.0,6.861791595095485,2021-01-26 18:00:00,961.3,86.73,71.97,14.66,9.89,34.65,46.79,8.99,4.0,CA,90201
115,Bell Gardens,130178.0,6.861791595095485,2021-01-26 17:00:00,947.95,84.94,73.34,7.96,7.45,32.43,43.82,8.87,4.0,CA,90201
