City,Population,Public Transportation Rate,Median Age
ABAC,25590.0,0.34647033347769596,36.9
Aberdeen,31027.0,0.36221127011460125,36.7
Aberdeen Township,30709.0,11.924538020732728,41.7
Abilene,57336.0,0.8020122056596677,31.45
Abingdon,29587.0,1.9810023747031622,35.6
Acworth,91872.0,0.31323545761741367,36.75
Adair Village,41976.0,2.9810438847052714,30.3
Addison,39709.0,3.6322171542996995,33.9
Adelaide,44288.0,1.475782648666957,39.5
Adelphi,49006.0,19.69913777288571,31.5
Adrian,41793.0,0.3702332469455757,37.1
Agua Dulce,35826.0,1.567561314206386,36.4
Aguada,40859.0,0.4958975746100442,39.0
Aguadilla Pueblo,53162.0,0.837138508371385,39.2
Aguas Buenas,28739.0,2.7913361805979258,36.0
Aibonito,25090.0,0.22071307300509338,38.3
Aiea,38526.0,5.597248280175109,42.8
Aiken,37074.0,0.17722640673460346,46.6
Akron,31769.0,1.0296870821075155,43.3
Alabaster,27001.0,0.10718113612004287,36.2
Alafaya,152601.0,1.5171165753096947,28.599999999999998
Alameda,62571.0,16.104784333967803,39.5
Alamo,38269.0,0.0,27.3
Alamogordo,36807.0,0.06920894179527995,39.4
Albany,87895.0,1.11158672427205,39.76666666666667
Albemarle,26433.0,0.3311884935654807,41.5
Albuquerque,509222.0,2.185756365888694,37.75
Alexandria,232360.0,16.375179961599674,36.54285714285714
Algood,37919.0,0.06995230524642289,33.5
Alhambra,84378.0,3.52272964619308,40.400000000000006
Alice,27738.0,0.0,34.0
Aliquippa,32188.0,1.5934627170582227,45.4
Allen,33889.0,1.6633520159103237,37.1
Allen Park,27814.0,0.12599417276950942,42.0
Allentown,139658.0,3.8786197924848644,37.03333333333333
Alliance,34796.0,0.29488169627185284,40.4
Aloma,50142.0,1.974850198328973,33.8
Alpha,29610.0,1.7226017226017225,40.8
Alpharetta,163810.0,0.966486237962544,36.96666666666666
Alta Loma,40822.0,1.4682147133857448,39.3
Altadena,37481.0,3.5742607907556363,41.3
Altamonte Springs,34729.0,0.07621057568296401,37.2
Alton,69525.0,1.0662093647479869,32.150000000000006
Altoona,63235.0,0.5949014088507345,40.25
Alvin,46333.0,0.0,34.9
Amarillo,107418.0,1.2607118740076633,33.43333333333333
American Canyon,30811.0,2.0982514571190674,37.3
Ames,58891.0,8.730485151847507,26.5
Amity Harbor,27423.0,9.861411519666747,40.1
Amsterdam,28926.0,1.1935782129948727,41.5
Anaheim,340373.0,4.6040477653225205,33.81666666666666
Anchorage,116055.0,2.6550475002115688,31.76666666666667
Anderson,68608.0,0.6310434414083251,39.6
Andover,81152.0,3.868384426191798,40.25
Ankeny,29895.0,0.11581128855296842,32.0
Ann Arbor,154741.0,8.632630501436019,32.15
Annandale,59872.0,8.73397435897436,39.1
Annapolis,37482.0,4.884011234786227,42.0
Antioch,192199.0,4.921590842734804,33.666666666666664
Apache Junction,28038.0,0.340560790101033,49.9
Apex,33385.0,0.38812921717322507,37.4
Apopka,90983.0,0.8965690619034633,36.7
Apple Valley,78157.0,0.9459485648200786,37.95
Appleton,73337.0,0.2607344248291153,36.35
Arcadia,97536.0,6.565715034506009,40.9
Arcola,31353.0,0.2836343008414484,35.2
Ardmore,35838.0,0.8377511617252438,37.6
