City,Population,Public Transportation Rate,Median Age,Lat,Lng
Jackson Heights,63202.0,71.771714066103,37.9,40.7556818,-73.88307009999998
Long Island City,163789.0,71.09048184491006,35.22,40.744679,-73.94854240000001
Woodside,88939.0,68.2676353199695,35.9,39.043415700000004,-94.61025670000001
West Bronx,277955.0,65.54983153952803,29.875,40.8519547,-73.90070899999998
East Flatbush,77011.0,63.13052522100885,38.9,40.6481656,-73.92998990000001
Briarwood,54523.0,62.71525215252152,35.7,36.312483,-94.11412259999999
Brooklyn,2480847.0,61.840459719115636,34.69428571428571,40.6781784,-73.94415790000001
Forest Hills,69652.0,61.26019316407381,41.9,40.718106,-73.84484690000001
The Bronx,941062.0,60.225609723764435,33.846666666666664,40.844781899999994,-73.86482679999999
Rego Park,41792.0,58.44869906725578,42.8,40.72557219999999,-73.8624893
Manhattan,1379505.0,58.24445941606818,36.575,40.783060299999995,-73.9712488
New York,61806.0,56.43907410103363,36.2,40.7127753,-74.0059728
Hoboken,51979.0,55.06953524307619,31.5,40.7439905,-74.0323626
East Elmhurst,76133.0,54.19041422034334,35.35,40.7737505,-73.8713099
Queens,78505.0,52.58807882528141,37.05,40.7282239,-73.7948516
Ozone Park,57529.0,51.62880938034131,35.34999999999999,40.67940720000001,-73.85072790000001
East Bronx,141898.0,49.91279428619398,36.55,40.8732894,-73.85362429999998
Jamaica,430698.0,47.04030440936099,36.47000000000001,18.109581,-77.297508
Maspeth,30854.0,45.161290322580655,39.6,40.7294018,-73.9065883
Jersey City,242617.0,44.9140074026659,34.02,40.7177545,-74.0431435
West New York,62908.0,43.99987040756821,35.2,40.787878799999994,-74.0143064
North Philadelphia,113446.0,42.87770574356534,31.9,40.0145387,-75.13112640000001
Far Rockaway,62577.0,42.412838480837436,32.6,40.5998931,-73.74484369999998
Southeast Washington,52480.0,42.39701644346499,32.7,47.751074100000004,-120.7401385
Northwest Washington,139176.0,41.49048979062749,33.425,38.9380912,-77.04493269999998
Middle Village,35725.0,41.215764863059455,43.4,40.717372,-73.87425
Elmhurst,147536.0,40.844054651310216,38.1,41.8994744,-87.9403418
West Philadelphia,85944.0,38.9647934952319,34.05,39.9600149,-75.2248702
Joint Base Anacostia-Bolling,38152.0,37.07426018983808,28.9,38.8456784,-77.0097478
DORCHESTR CTR,51544.0,36.231632031997215,34.7,42.2917651,-71.07171729999999
Northeast Washington,56646.0,35.864334782464404,34.3,38.909760799999994,-76.97582740000001
Boston,442696.0,34.48552701593437,33.357142857142854,42.360082500000004,-71.0588801
Mid Island,126891.0,32.94013231351405,38.4,40.6113055,-74.14122440000001
Scarsdale,39510.0,32.82581524826724,43.0,41.0050977,-73.7845768
San Francisco,749724.0,32.682564996766146,38.73333333333333,37.7749295,-122.4194155
Flushing,394703.0,31.83715308449079,41.77777777777778,40.767498700000004,-73.833079
North Bergen,62114.0,31.230188170229987,36.8,40.8042674,-74.012084
Malden,60293.0,30.401579134711838,35.7,42.4250964,-71.066163
