country,city,count,locations,firstUpdated,lastUpdated,parameters
US,007,1372,5,2018-08-09T09:00:00+00:00,2018-11-09T23:00:00+00:00,['pm25']
US,019,704,1,2020-09-18T16:00:00+00:00,2020-10-23T17:00:00+00:00,['pm25']
US,037,2683,23,2017-08-28T20:00:00+00:00,2020-10-28T20:00:00+00:00,['pm25']
US,039,380,1,2017-08-28T20:00:00+00:00,2018-08-07T21:00:00+00:00,['pm25']
US,047,101,1,2018-09-06T18:00:00+00:00,2018-09-13T18:00:00+00:00,['pm25']
US,051,330,7,2017-08-28T20:00:00+00:00,2019-07-26T15:00:00+00:00,['pm25']
US,077,670334,1,2020-09-18T22:00:00+00:00,2021-01-04T15:00:00+00:00,['pm25']
US,ABBEVILLE,4619,1,2016-03-06T19:00:00+00:00,2017-01-10T18:00:00+00:00,['o3']
US,Aberdeen,43018851,2,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,['pm25']
US,ADA,29956005,2,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['co', 'no2', 'pm25']"
US,ADAIR,32778896,1,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['co', 'o3', 'pm10', 'pm25', 'so2']"
US,ADAMS,28230007,2,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,"['pm25', 'so2']"
US,Adrian,30420094,1,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm25']"
US,Akron,89012191,4,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['co', 'o3', 'pm25', 'so2']"
US,ALAMEDA,138178595,1,2016-07-25T22:00:00+00:00,2021-02-01T08:00:00+00:00,"['bc', 'co', 'no2', 'o3', 'pm25']"
US,Albany,24827728,1,2019-04-05T17:00:00+00:00,2021-02-01T11:00:00+00:00,['pm25']
US,Albany-Lebanon,60300633,2,2016-03-10T08:00:00+00:00,2021-02-01T11:00:00+00:00,['pm25']
US,Albany-Schenectady-Troy,58998285,3,2016-03-10T07:00:00+00:00,2021-02-01T10:00:00+00:00,"['o3', 'pm25']"
US,Albuquerque,579094846,7,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']"
US,ALEXANDER,41224,1,2016-03-28T21:00:00+00:00,2020-11-03T15:00:00+00:00,"['o3', 'pm10']"
US,Allegan,29715900,1,2016-04-04T14:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm25']"
US,ALLEGANY,32122,2,2017-08-10T21:00:00+00:00,2020-05-08T16:00:00+00:00,['so2']
US,Allentown-Bethlehem-Easton,116272910,3,2016-03-06T19:00:00+00:00,2021-02-01T12:00:00+00:00,"['o3', 'pm25']"
US,Altoona,58678630,1,2016-03-06T19:00:00+00:00,2021-02-01T12:00:00+00:00,"['o3', 'pm25']"
US,AMADOR,25500192,2,2016-03-06T19:00:00+00:00,2021-02-01T08:00:00+00:00,['o3']
US,Amarillo,25262749,2,2016-03-06T19:00:00+00:00,2021-02-01T03:00:00+00:00,"['o3', 'pm25']"
US,Americus,22297,1,2016-03-06T19:00:00+00:00,2020-11-04T16:00:00+00:00,['o3']
US,Ames,4773,1,2016-04-01T12:00:00+00:00,2016-11-03T16:00:00+00:00,['o3']
US,Anchorage,150005877,3,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['co', 'pm10', 'pm25']"
US,ANCHORAGE,828,1,2018-06-19T17:00:00+00:00,2018-07-12T16:00:00+00:00,"['pm10', 'pm25']"
US,Anderson,58522484,3,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm25']"
US,ANDERSON,21946,2,2017-03-13T03:00:00+00:00,2020-11-05T16:00:00+00:00,['o3']
US,ANDREW,22223,1,2016-03-06T19:00:00+00:00,2020-11-04T14:00:00+00:00,['o3']
US,Ann Arbor,48743393,2,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm25']"
US,ANNE ARUNDEL,1772,1,2018-06-05T17:00:00+00:00,2018-08-29T12:00:00+00:00,['o3']
US,Appleton,30407625,1,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm25']"
US,ARAPAHOE,26051460,1,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,['o3']
US,ARCHULETA,29371591,1,2017-12-19T13:00:00+00:00,2021-02-01T12:00:00+00:00,"['no2', 'o3', 'so2']"
US,Ardmore,52194981,2,2016-03-10T07:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm10', 'pm25']"
US,Arkadelphia,24678954,1,2016-03-13T08:00:00+00:00,2021-02-01T03:00:00+00:00,['o3']
US,AROOSTOOK,220386633,5,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']"
US,Asheville,30399219,7,2016-03-06T19:00:00+00:00,2021-02-01T12:00:00+00:00,"['o3', 'pm25', 'so2']"
US,ASHLAND,59407485,1,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm25']"
US,Ashtabula,29338222,1,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'so2']"
US,ASOTIN,27828837,1,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,['pm25']
US,Athens,26249613,2,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,"['co', 'no2', 'o3', 'pm25', 'so2']"
US,Athens-Clarke County,59805578,1,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm10', 'pm25']"
US,Atlanta,794,1,2014-01-18T14:00:00+00:00,2014-03-13T12:00:00+00:00,['pm25']
US,Atlanta-Sandy Springs-Marietta,415200114,13,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']"
US,Atlantic City,74865517,1,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,"['o3', 'pm25', 'so2']"
US,Augusta-Richmond County,135141466,4,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm10', 'pm25', 'so2']"
US,Augusta-Waterville,65758,2,2016-03-06T19:00:00+00:00,2020-10-02T11:00:00+00:00,"['no2', 'o3', 'so2']"
