City,Population,Public Transportation Rate,Median Age,Lat,Lng
Artesia,50069.0,2.6363838788688487,44.2,33.8658484,-118.08312120000001
East Lansing,50081.0,5.2172495312627385,23.6,42.7369792,-84.48386540000001
CRYSTAL CITY,50222.0,7.3178594455190185,30.3,38.855419,-77.05212890000001
Yardley,51148.0,5.698564777405824,42.1,40.245664,-74.84599720000001
Fort Washington,51460.0,12.973156386668675,43.4,38.7073379,-77.0230313
DORCHESTR CTR,51544.0,36.231632031997215,34.7,42.2917651,-71.07171729999999
Peabody,51597.0,2.4113695491787364,44.9,42.5278731,-70.92866090000001
Marshfield,51660.0,2.017376718548205,42.65,44.6688524,-90.17179870000001
Somerset,51722.0,7.473366194943553,40.5,51.105097,-2.9262307
Belmont,51789.0,10.038910747130167,40.55,39.02468289999999,-94.86583910000002
Hoboken,51979.0,55.06953524307619,31.5,40.7439905,-74.0323626
Glendora,52002.0,2.5565218763142776,40.05,34.136118700000004,-117.86533899999999
Oregon City,52182.0,2.8119730185497467,40.3,45.3364465,-122.6050422
Denton,52300.0,2.3869624137465486,27.05,33.2148412,-97.1330683
Southeast Washington,52480.0,42.39701644346499,32.7,47.751074100000004,-120.7401385
Christiana,52515.0,3.709813409582463,33.5,39.6799696,-75.6571802
Cathedral City,52534.0,3.2617232617232617,34.8,33.780538799999995,-116.46680359999999
Kaneohe,52637.0,4.733418081208406,42.0,21.3996475,-157.79736530000002
Lombard,52833.0,4.377491291701081,40.5,41.8800296,-88.00784349999998
Rancho Cordova,52886.0,4.402082705796291,36.9,38.5890723,-121.302728
Lithonia,53237.0,7.1242962321351255,34.0,33.7123305,-84.1051939
Revere,53268.0,26.63039371268798,38.5,42.408430200000005,-71.0119948
Issaquah,53340.0,7.319397129187976,39.4,47.5301011,-122.03261909999999
Syracuse,53448.0,5.689929533850808,24.95000000000001,43.0481221,-76.14742439999998
Placentia,53474.0,2.5847943634278225,36.4,33.8710729,-117.86275479999999
Kailua,53555.0,3.2659799734414814,34.4,21.402222199999997,-157.73944440000002
Eagle Mountain,53583.0,2.1539650342895778,24.2,40.31411689999999,-112.006882
Santa Monica,53651.0,3.566043139271728,39.95,34.01945429999999,-118.4911912
E RNCHO DMNGZ,53657.0,6.627432267642225,27.6,33.8508097,-118.22488500000001
Bolingbrook,53762.0,2.7085927770859284,33.3,41.69864159999999,-88.0683955
Union,53811.0,7.820003781433162,41.0,36.0749533,-95.88231440000001
Mill Creek,53837.0,6.832687695997048,37.3,47.860097100000004,-122.2042966
Romansville,53952.0,3.5761744704135072,37.5,39.952052200000004,-75.74077609999998
Oxford,53953.0,2.03059592878488,31.8,34.3668299,-89.51863499999997
Blacksburg,54145.0,7.823674743184084,22.6,37.2295733,-80.4139393
Perth Amboy,54176.0,5.842132594772372,33.4,40.5067723,-74.2654234
Canóvanas,54198.0,2.588895820336868,35.9,18.3748748,-65.8997533
Irvington,54268.0,21.854193004635487,35.7,40.7263249,-74.22864349999998
Blaine,54315.0,3.4732093656555967,35.95,45.1607987,-93.2349489
Mililani,54320.0,4.803837342497137,37.5,21.451331399999997,-158.01528069999998
Hazard,54353.0,12.789292685193793,30.9,37.24954,-83.19322840000001
Normal,54454.0,3.241225315749076,24.0,40.5115495,-88.98035329999998
Boulder,54474.0,6.109939462058017,31.55,40.0149856,-105.2705456
Briarwood,54523.0,62.71525215252152,35.7,36.312483,-94.11412259999999
Bowie,54753.0,10.129696015616886,40.95,39.0067768,-76.77913649999998
Willowbrook,54764.0,2.6205934522640297,38.45,41.7697533,-87.9358931
Biscayne Park,54772.0,13.146067415730338,34.6,25.8825951,-80.18060249999998
Paramount,54813.0,5.286072594765983,29.3,39.0353939,-95.6780453
Waterbury,54818.0,4.2815778016595045,35.3,41.558152500000006,-73.0514965
Upper Gwynedd,54910.0,4.444365873492911,42.0,40.2212266,-75.2887369
Wayne,55003.0,6.836355445433044,43.7,37.0360747,-95.636435
Dundalk,55043.0,4.121662490279098,41.1,39.2506633,-76.5205184
Norcross,55116.0,2.164090368608799,29.4,33.9412127,-84.2135309
Lompoc,55176.0,3.628715388526788,34.0,34.6391501,-120.4579409
Hacienda Heights,55237.0,2.2007153376814643,40.4,33.993067700000005,-117.96867549999999
Jackson Township,55285.0,2.558258340865328,42.1,40.0918895,-74.35874729999998
West Haven,55290.0,5.813864419762544,36.3,41.2705484,-72.94697109999998
Schenectady,55400.0,2.0860644367427748,40.7,42.8142432,-73.93956870000001
Eddington,55527.0,3.975189335526541,40.3,44.82658439999999,-68.69353620000001
Mount Prospect,55617.0,6.451154529307282,39.8,42.066416700000005,-87.9372908
North Massapequa,55900.0,13.70826651115323,42.9,40.70093370000001,-73.4620685
Freehold,56039.0,6.3905148950449275,40.6,40.21367539999999,-74.3000878
Plainview,56206.0,7.221094067079028,38.2,40.7764882,-73.4673454
Northeast Washington,56646.0,35.864334782464404,34.3,38.909760799999994,-76.97582740000001
Oak Lawn,57012.0,7.133628283935633,42.0,41.719978000000005,-87.7479528
South Hempstead,57224.0,24.2004989793604,33.7,40.680989200000006,-73.62352440000001
St. Charles,57505.0,3.6426547091700083,41.6,38.7881062,-90.4974359
Ozone Park,57529.0,51.62880938034131,35.34999999999999,40.67940720000001,-73.85072790000001
West Springfield,57583.0,5.506762829956934,39.95,42.1070383,-72.6203675
Piscataway,57600.0,7.7113292246823395,32.6,40.554887,-74.4642861
Garrison,57724.0,7.292003361561832,34.5,47.6522225,-101.4157165
Bremerton,58011.0,4.729595300888007,37.15,47.565006700000005,-122.6269768
Swansea,58652.0,5.439828999090687,38.85,51.62144,-3.943645999999999
Ames,58891.0,8.730485151847509,26.5,42.03078120000001,-93.6319131
North Charleston,58906.0,6.9343545626456615,31.95,32.8771106,-80.01305140000001
Chicago Heights,58923.0,6.708440840398081,32.8,41.506146,-87.6355995
Whitehall,59127.0,3.3729440344577584,37.35,51.50498220000001,-0.1265712
Deer Park,59369.0,3.8140544604806186,37.95,29.7052284,-95.1238204
Bothell,59380.0,6.7115867095776185,38.65000000000001,47.76011099999999,-122.2054452
Spring Valley,59481.0,2.3761842409304474,34.6,41.1131514,-74.04375209999999
Gilroy,59666.0,2.571214392803598,33.3,37.0029828,-121.55663729999999
SIENNA PLANT,59800.0,2.276713553667848,37.0,29.486070799999997,-95.50799909999999
Annandale,59872.0,8.73397435897436,39.1,38.8303905,-77.1963703
